RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,95,41,54,23.82,22,13,9,25.73,146072,60928,44880,25512,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
2,94,40,54,24.57,22,13,9,26.45,152920,63320,44976,25608,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
3,93,41,52,24.1,22,10,12,26.0,147488,62128,44304,19632,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
4,89,40,49,24.48,23,11,12,26.65,139400,59792,45336,20280,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
5,94,41,53,24.49,23,11,12,26.13,147584,63200,46008,20952,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
6,94,41,53,23.66,22,10,12,25.55,149072,60808,42000,18576,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
7,90,39,51,24.22,25,12,13,26.36,134792,57264,46536,21152,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
8,89,41,48,23.89,28,12,16,26.04,139008,61312,55392,22560,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
9,84,40,44,24.48,24,11,13,26.58,137336,62672,48256,21208,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
10,89,40,49,24.12,21,9,12,26.14,135224,58536,40360,16744,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
11,91,43,48,23.87,24,12,12,25.83,131672,62456,45696,22272,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
12,89,42,47,24.6,22,11,11,26.55,139800,64256,39088,20152,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
13,93,41,52,24.03,18,12,6,26.11,131912,58624,36880,23968,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
14,87,43,44,24.01,20,11,9,26.2,126432,63816,42016,23032,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
15,91,42,49,23.73,21,12,9,25.86,135960,62664,41352,24384,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
16,86,41,45,24.74,18,12,6,26.67,137920,64048,37968,25440,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
17,87,37,50,24.02,17,11,6,25.94,123536,54376,33000,22104,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
18,90,39,51,24.31,15,12,3,26.47,138288,58808,30200,23744,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
19,94,40,54,24.28,18,12,6,26.22,152584,61656,35792,22880,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
20,92,38,54,24.8,24,12,12,26.79,139944,56600,48960,25152,7,0,51,5,241227-100907_Run_3_Idx_39459,2000,0,4.9999999999999996e-05,20000000,1,0
