PRF,Filename,Average Low Point (Mbps)
0205,0205_3Hz.iperf.csv,6.5
0240,0240_2Hz.iperf.csv,3.287333333333334
0310,0310_2Hz.iperf.csv,3.4273333333333333
0495,0495_9Hz.iperf.csv,2.24
0380,0380_7Hz.iperf.csv,4.19
0100,0100_5Hz.iperf.csv,30.406666666666666
0050,0050_5Hz.iperf.csv,36.5
0475,0475_5Hz.iperf.csv,3.4273333333333333
0430,0430_4Hz.iperf.csv,1.75
0015,0015_4Hz.iperf.csv,39.27333333333334
0145,0145_4Hz.iperf.csv,21.313333333333333
0295,0295_6Hz.iperf.csv,3.9820000000000007
0260,0260_4Hz.iperf.csv,7.34
0330,0330_4Hz.iperf.csv,1.9600000000000002
0375,0375_5Hz.iperf.csv,1.8200000000000003
0225,0225_5Hz.iperf.csv,5.029999999999999
0480,0480_7Hz.iperf.csv,2.31
0395,0395_9Hz.iperf.csv,1.89
0035,0035_2Hz.iperf.csv,40.85999999999999
0165,0165_2Hz.iperf.csv,7.34
0410,0410_2Hz.iperf.csv,1.6800000000000004
0455,0455_3Hz.iperf.csv,1.82
0505,0505_3Hz.iperf.csv,1.89
0120,0120_3Hz.iperf.csv,22.093333333333334
0070,0070_3Hz.iperf.csv,37.526666666666664
0280,0280_8Hz.iperf.csv,7.06
0285,0285_6Hz.iperf.csv,3.218666666666666
0155,0155_4Hz.iperf.csv,35.72
0005,0005_4Hz.iperf.csv,37.870000000000005
0420,0420_4Hz.iperf.csv,3.8433333333333337
0465,0465_5Hz.iperf.csv,1.89
0040,0040_5Hz.iperf.csv,38.58
0110,0110_5Hz.iperf.csv,21.266666666666666
0310,0310_10Hz.iperf.csv,6.989999999999999
0305,0305_10Hz.iperf.csv,3.7046666666666663
0390,0390_7Hz.iperf.csv,2.1
0485,0485_9Hz.iperf.csv,1.89
0300,0300_2Hz.iperf.csv,1.75
0250,0250_2Hz.iperf.csv,0.0
0215,0215_3Hz.iperf.csv,4.610666666666667
0345,0345_3Hz.iperf.csv,2.1
0095,0095_1Hz.iperf.csv,36.7
0145,0145_1Hz.iperf.csv,42.36
0015,0015_1Hz.iperf.csv,42.313333333333325
0065,0065_8Hz.iperf.csv,37.89333333333333
0135,0135_8Hz.iperf.csv,8.727333333333334
0440,0440_8Hz.iperf.csv,3.7739999999999987
0430,0430_1Hz.iperf.csv,2.31
0295,0295_3Hz.iperf.csv,2.52
0380,0380_2Hz.iperf.csv,1.89
0405,0405_9Hz.iperf.csv,34.019999999999996
0170,0170_9Hz.iperf.csv,20.486666666666668
0020,0020_9Hz.iperf.csv,37.83
0145,0145_10Hz.iperf.csv,14.413333333333332
0150,0150_10Hz.iperf.csv,44.76666666666667
0310,0310_7Hz.iperf.csv,5.73
0240,0240_7Hz.iperf.csv,6.079999999999998
0190,0190_5Hz.iperf.csv,7.13
0295,0295_10Hz.iperf.csv,1.89
0280,0280_10Hz.iperf.csv,4.051333333333333
0085,0085_4Hz.iperf.csv,24.600000000000005
0205,0205_6Hz.iperf.csv,7.55
0355,0355_6Hz.iperf.csv,2.5900000000000003
0350,0350_8Hz.iperf.csv,7.27
0200,0200_8Hz.iperf.csv,6.29
0270,0270_1Hz.iperf.csv,2.5200000000000005
0320,0320_1Hz.iperf.csv,4.120666666666668
0490,0490_2Hz.iperf.csv,1.8900000000000015
0245,0245_9Hz.iperf.csv,5.94
0315,0315_9Hz.iperf.csv,2.7993333333333346
0025,0025_7Hz.iperf.csv,39.94
0175,0175_7Hz.iperf.csv,6.989999999999999
0400,0400_7Hz.iperf.csv,0.0
0445,0445_6Hz.iperf.csv,1.89
0130,0130_6Hz.iperf.csv,11.107999999999999
0060,0060_6Hz.iperf.csv,38.73333333333333
0270,0270_10Hz.iperf.csv,1.89
0265,0265_10Hz.iperf.csv,2.52
0280,0280_1Hz.iperf.csv,4.612000000000001
0150,0150_3Hz.iperf.csv,37.54
0425,0425_3Hz.iperf.csv,1.6800000000000004
0460,0460_2Hz.iperf.csv,1.96
0115,0115_2Hz.iperf.csv,35.52000000000001
0045,0045_2Hz.iperf.csv,39.96
0185,0185_7Hz.iperf.csv,7.41
0255,0255_5Hz.iperf.csv,5.38
0305,0305_5Hz.iperf.csv,1.9600000000000002
0340,0340_4Hz.iperf.csv,2.73
0210,0210_4Hz.iperf.csv,7.13
0090,0090_6Hz.iperf.csv,36.96666666666667
0095,0095_8Hz.iperf.csv,22.813333333333333
0335,0335_3Hz.iperf.csv,3.8433333333333337
0265,0265_3Hz.iperf.csv,3.15
0220,0220_2Hz.iperf.csv,5.17
0370,0370_2Hz.iperf.csv,1.89
0180,0180_9Hz.iperf.csv,6.71
0160,0160_5Hz.iperf.csv,12.160000000000002
0030,0030_5Hz.iperf.csv,42.126666666666665
0415,0415_5Hz.iperf.csv,2.4499999999999997
0500,0500_4Hz.iperf.csv,2.5886666666666667
0450,0450_4Hz.iperf.csv,2.1
