Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,3.66,30.7,0,KBytes
1.00,5.50,46.1,0,KBytes
2.00,5.62,47.2,0,KBytes
3.00,5.50,46.1,0,KBytes
4.00,5.38,45.1,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.12,43.0,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.12,43.0,0,MBytes
11.00,5.00,41.9,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.12,43.0,0,MBytes
15.00,5.00,42.0,0,MBytes
16.00,5.00,41.9,0,MBytes
17.00,5.12,43.0,0,MBytes
18.00,4.00,33.6,36,MBytes
19.00,5.12,43.0,762,MBytes
20.00,4.50,37.7,0,MBytes
21.00,4.12,34.6,143,KBytes
22.00,4.88,40.9,11,KBytes
23.00,4.00,33.6,79,KBytes
24.00,4.50,37.7,0,KBytes
25.00,4.38,36.7,0,KBytes
26.00,4.38,36.7,0,KBytes
27.00,4.12,34.6,0,KBytes
28.00,4.38,36.7,98,KBytes
29.00,4.62,38.8,0,KBytes
30.00,4.62,38.8,0,KBytes
31.00,4.25,35.7,0,KBytes
32.00,4.25,35.7,71,KBytes
33.00,4.50,37.8,0,KBytes
34.00,4.38,36.7,0,KBytes
35.00,4.25,35.7,0,KBytes
36.00,4.12,34.6,0,KBytes
37.00,4.00,33.6,0,KBytes
38.00,5.00,41.9,0,KBytes
39.00,5.12,43.0,0,KBytes
40.00,5.00,41.9,0,KBytes
41.00,5.00,41.9,0,KBytes
42.00,5.12,43.0,0,KBytes
43.00,5.00,41.9,0,KBytes
44.00,5.12,43.0,0,KBytes
45.00,5.00,41.9,0,KBytes
46.00,3.25,43.2,0,KBytes
0.00,222,40.0,1200,
0.00,0.00,0.00,receiver,
