Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,3.08,25.8,0,KBytes
1.00,5.50,46.1,0,KBytes
2.00,5.62,47.2,0,KBytes
3.00,5.50,46.1,0,KBytes
4.00,5.50,46.1,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.12,43.0,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.12,43.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.00,41.9,0,MBytes
14.00,5.12,43.0,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.12,43.0,0,MBytes
17.00,4.12,34.6,0,MBytes
18.00,128,1.05,0,MBytes
19.00,0.00,0.00,1,KBytes
20.00,0.00,0.00,0,KBytes
21.00,0.00,0.00,0,KBytes
22.00,0.00,0.00,1,KBytes
23.00,1.88,15.7,1,MBytes
24.00,0.00,0.00,1,MBytes
25.00,0.00,0.00,0,MBytes
26.00,0.00,0.00,0,MBytes
27.00,0.00,0.00,0,MBytes
28.00,768,6.29,36,MBytes
29.00,384,3.15,0,KBytes
30.00,0.00,0.00,0,KBytes
31.00,0.00,0.00,0,KBytes
32.00,0.00,0.00,0,KBytes
33.00,0.00,0.00,0,KBytes
34.00,0.00,0.00,0,KBytes
35.00,0.00,0.00,0,KBytes
36.00,0.00,0.00,0,KBytes
37.00,0.00,0.00,0,KBytes
38.00,0.00,0.00,0,KBytes
39.00,0.00,0.00,0,KBytes
40.00,0.00,0.00,0,KBytes
41.00,0.00,0.00,0,KBytes
42.00,0.00,0.00,0,KBytes
43.00,0.00,0.00,0,KBytes
44.00,0.00,0.00,0,KBytes
45.00,0.00,0.00,0,KBytes
46.00,0.00,0.00,0,KBytes
0.00,93.0,16.9,40,
0.00,0.00,0.00,receiver,
