RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,132,82,50,5,114,85,29,5
2,135,81,54,5,89,59,30,5
3,138,86,52,5,128,93,35,5
4,142,84,58,5,124,93,31,5
5,140,82,58,5,124,90,34,5
6,139,87,52,5,142,103,39,5
7,141,79,62,5,105,78,27,5
8,136,83,53,5,98,71,27,5
9,134,83,51,5,116,94,22,5
10,136,83,53,5,115,90,25,5
