RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,133,101,32,1.06,50,43,7,0.1,7960,5424,1512,1304,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
2,135,104,31,1.02,49,44,5,0.04,7816,5256,1504,1328,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
3,134,100,34,0.86,51,43,8,0.02,6728,4880,1528,1280,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
4,136,101,35,1.15,52,43,9,0.06,8520,4912,1568,1280,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
5,135,99,36,0.91,53,42,11,0.11,7296,4872,1592,1248,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
6,134,98,36,0.92,54,43,11,0.11,6720,4800,1704,1320,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
7,132,101,31,1.05,54,43,11,0.06,7488,5336,1688,1304,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
8,132,102,30,0.96,52,43,9,0.06,7112,4824,1608,1320,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
9,131,101,30,0.98,53,42,11,0.06,7360,4872,1584,1240,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
10,132,99,33,1.07,50,43,7,0.06,7768,4888,1504,1264,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
11,131,100,31,0.9,53,40,13,0.06,6992,5200,1584,1176,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
12,129,96,33,1.34,55,43,12,0.11,7752,5104,1656,1304,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
13,135,98,37,1.07,52,43,9,0.13,8552,5488,1576,1296,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
14,134,97,37,1.5,52,42,10,0.06,10520,6072,1584,1264,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
15,137,101,36,0.66,52,43,9,0.08,6264,4640,1600,1296,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
16,130,102,28,1.05,51,42,9,0.06,8504,5848,1536,1248,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
17,132,103,29,0.91,53,39,14,0.08,7760,5368,1544,1128,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
18,130,108,22,0.78,54,43,11,0.06,6384,4944,1608,1264,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
19,129,106,23,0.95,52,41,11,0.13,7712,5816,1552,1224,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
20,130,103,27,1.16,53,43,10,0.11,7400,5384,1672,1344,4,1000000,51,5,241228-123737_Run_2_Idx_35444,2000,1000000,4.9999999999999996e-05,18000000,1,0
