,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
395,16,46,17,29,24.3,8,2,6,26.25,122048,44520,34816,8704,14,1000000,51,5,241227-100827_Run_8_Idx_77120,2000,1000000,5e-05,20000000,2440960.0,890400.0,696320.0,174080.0,0.6304347826086957,0.75
396,17,44,17,27,24.5,9,3,6,26.78,115480,44480,39248,12712,14,1000000,51,5,241227-100827_Run_8_Idx_77120,2000,1000000,5e-05,20000000,2309600.0,889600.0,784960.0,254240.0,0.6136363636363636,0.6666666666666666
397,18,44,18,26,23.68,8,2,6,26.25,98536,43120,36864,9216,14,1000000,51,5,241227-100827_Run_8_Idx_77120,2000,1000000,5e-05,20000000,1970720.0,862400.0,737280.0,184320.0,0.5909090909090909,0.75
398,19,44,20,24,24.18,8,2,6,26.5,106040,47144,36864,9216,14,1000000,51,5,241227-100827_Run_8_Idx_77120,2000,1000000,5e-05,20000000,2120800.0,942880.0,737280.0,184320.0,0.5454545454545454,0.75
399,20,42,18,24,23.76,8,3,5,26.25,109360,46816,33960,12200,14,1000000,51,5,241227-100827_Run_8_Idx_77120,2000,1000000,5e-05,20000000,2187200.0,936320.0,679200.0,244000.0,0.5714285714285714,0.625
400,1,160,137,23,0.8,78,72,6,0.01,4312,3656,1872,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,86240.0,73120.0,37440.0,34560.0,0.14375,0.07692307692307693
401,2,160,137,23,0.88,78,71,7,0.04,4344,3720,1872,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,86880.0,74400.0,37440.0,34080.0,0.14375,0.08974358974358974
402,3,160,137,23,0.69,80,72,8,0.05,4168,3568,1920,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83360.0,71360.0,38400.0,34560.0,0.14375,0.1
403,4,160,136,24,0.61,77,71,6,0.06,4088,3504,1848,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,81760.0,70080.0,36960.0,34080.0,0.15,0.07792207792207792
404,5,160,137,23,0.7,77,72,5,0.05,4216,3592,1848,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,84320.0,71840.0,36960.0,34560.0,0.14375,0.06493506493506493
405,6,160,140,20,0.8,79,72,7,0.03,4216,3712,1896,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,84320.0,74240.0,37920.0,34560.0,0.125,0.08860759493670886
406,7,160,141,19,0.83,79,71,8,0.01,4272,3760,1896,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,85440.0,75200.0,37920.0,34080.0,0.11875,0.10126582278481013
407,8,160,141,19,0.76,78,72,6,0.03,4152,3680,1872,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83040.0,73600.0,37440.0,34560.0,0.11875,0.07692307692307693
408,9,160,140,20,0.92,81,72,9,0.05,4416,3856,1944,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,88320.0,77120.0,38880.0,34560.0,0.125,0.1111111111111111
409,10,160,140,20,0.97,76,69,7,0.05,4416,3840,1824,1656,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,88320.0,76800.0,36480.0,33120.0,0.125,0.09210526315789473
410,11,160,139,21,0.68,79,72,7,0.06,4224,3624,1896,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,84480.0,72480.0,37920.0,34560.0,0.13125,0.08860759493670886
411,12,160,138,22,0.69,79,70,9,0.05,4168,3576,1896,1680,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83360.0,71520.0,37920.0,33600.0,0.1375,0.11392405063291139
412,13,160,133,27,0.67,78,71,7,0.03,4216,3552,1872,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,84320.0,71040.0,37440.0,34080.0,0.16875,0.08974358974358974
413,14,160,137,23,0.61,80,70,10,0.0,4096,3528,1920,1680,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,81920.0,70560.0,38400.0,33600.0,0.14375,0.125
414,15,160,133,27,0.57,81,72,9,0.02,4160,3416,1944,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83200.0,68320.0,38880.0,34560.0,0.16875,0.1111111111111111
415,16,160,138,22,0.7,82,72,10,0.05,4184,3616,1968,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83680.0,72320.0,39360.0,34560.0,0.1375,0.12195121951219512
416,17,160,138,22,0.75,78,72,6,0.06,4296,3656,1872,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,85920.0,73120.0,37440.0,34560.0,0.1375,0.07692307692307693
417,18,160,140,20,0.71,79,71,8,0.05,4184,3664,1896,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83680.0,73280.0,37920.0,34080.0,0.125,0.10126582278481013
418,19,160,141,19,0.79,83,72,11,0.04,4184,3680,1992,1728,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,83680.0,73600.0,39840.0,34560.0,0.11875,0.13253012048192772
419,20,160,136,24,0.75,80,71,9,0.01,4200,3560,1920,1704,2,10000000,51,5,241227-101516_Run_17_Idx_96361,2000,10000000,5e-05,20000000,84000.0,71200.0,38400.0,34080.0,0.15,0.1125
