RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,18,8,10,3.06,15,4,11,0.0,12080,6344,2160,576,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
2,19,8,11,2.74,12,3,9,0.0,16904,7640,1728,432,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
3,16,9,7,2.12,15,4,11,0.0,8944,5728,2040,536,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
4,17,9,8,3.0,14,4,10,0.0,12888,6920,1776,496,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
5,22,9,13,1.59,12,3,9,0.0,12304,5696,1568,392,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
6,22,9,13,1.59,12,3,9,0.0,9920,5216,1568,392,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
7,24,9,15,1.62,13,4,9,0.0,16776,5752,1712,536,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
8,18,8,10,2.28,13,4,9,0.0,11904,6600,1872,576,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
9,20,9,11,1.55,9,3,6,0.0,10080,5152,1296,432,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
10,23,9,14,1.61,13,4,9,0.0,15712,6032,1712,536,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
11,18,8,10,1.83,9,3,6,0.0,9632,5256,1296,432,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
12,17,9,8,2.88,12,3,9,0.0,10040,7672,1568,392,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
13,16,9,7,2.56,13,4,9,0.0,11360,6808,1552,496,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
14,17,8,9,1.53,12,4,8,0.0,11120,4808,1448,496,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
15,21,8,13,1.38,12,4,8,0.0,12936,5256,1728,576,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
16,17,8,9,2.18,11,4,7,0.0,9480,6360,1544,536,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
17,18,8,10,1.5,11,3,8,0.0,9752,5016,1584,432,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
18,16,8,8,1.81,8,2,6,0.0,8168,4984,1152,288,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
19,18,8,10,1.72,8,2,6,0.0,8416,4752,1152,288,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
20,15,8,7,3.13,10,3,7,0.0,11632,6984,1440,432,14,7000000,51,5,241228-131712_Run_4_Idx_56311,2000,7000000,4.9999999999999996e-05,6000000,1,0
