Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,2.01,16.9,0,KBytes
1.00,5.38,45.1,0,KBytes
2.00,5.62,47.2,0,KBytes
3.00,5.50,46.1,0,KBytes
4.00,5.62,47.2,0,MBytes
5.00,5.12,43.0,0,MBytes
6.00,4.88,40.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.12,43.0,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.12,43.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.00,41.9,0,MBytes
15.00,5.12,43.0,0,MBytes
16.00,5.00,41.9,0,MBytes
17.00,3.12,26.2,0,MBytes
18.00,1.38,11.5,0,MBytes
19.00,1.75,14.7,0,MBytes
20.00,1.88,15.7,0,MBytes
21.00,1.75,14.7,0,MBytes
22.00,1.50,12.6,0,MBytes
23.00,1.88,15.7,160,MBytes
24.00,1.88,15.7,0,MBytes
25.00,1.50,12.6,153,MBytes
26.00,2.38,19.9,17,MBytes
27.00,896,7.34,255,KBytes
28.00,2.38,19.9,19,KBytes
29.00,1.62,13.6,0,KBytes
30.00,1.62,13.6,0,KBytes
31.00,2.12,17.8,0,MBytes
32.00,1.50,12.6,0,MBytes
33.00,1.62,13.6,0,MBytes
34.00,2.12,17.8,0,MBytes
35.00,1.50,12.6,0,MBytes
36.00,1.38,11.5,0,MBytes
37.00,2.62,22.0,38,KBytes
38.00,4.25,35.7,0,KBytes
39.00,5.12,43.0,0,KBytes
40.00,5.00,41.9,0,KBytes
41.00,5.00,41.9,0,MBytes
42.00,5.12,43.0,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.12,43.0,0,MBytes
45.00,2.75,40.8,0,MBytes
0.00,160,29.5,642,
0.00,0.00,0.00,receiver,
