PRF,Filename,Average Low Point (Mbps)
1305,1305_1Hz.iperf.csv,12.579999999999998
1330,1330_2Hz.iperf.csv,12.979999999999999
1330,1330_1Hz.iperf.csv,12.979999999999999
1355,1355_1Hz.iperf.csv,11.11
1355,1355_2Hz.iperf.csv,12.264
1380,1380_1Hz.iperf.csv,12.669
1380,1380_2Hz.iperf.csv,9.969999999999999
1405,1405_2Hz.iperf.csv,11.523999999999997
1405,1405_1Hz.iperf.csv,5.345000000000001
1430,1430_2Hz.iperf.csv,11.419999999999998
1430,1430_1Hz.iperf.csv,4.82
1455,1455_1Hz.iperf.csv,10.693999999999999
1455,1455_2Hz.iperf.csv,3.043
1480,1480_1Hz.iperf.csv,10.995999999999999
1480,1480_2Hz.iperf.csv,1.575
1505,1505_1Hz.iperf.csv,3.46
1505,1505_2Hz.iperf.csv,10.687999999999999
1530,1530_1Hz.iperf.csv,1.6800000000000002
1530,1530_2Hz.iperf.csv,10.583
1555,1555_2Hz.iperf.csv,4.611000000000001
1555,1555_1Hz.iperf.csv,5.87
1580,1580_2Hz.iperf.csv,3.774
1580,1580_1Hz.iperf.csv,1.26
1605,1605_1Hz.iperf.csv,2.3099999999999996
1605,1605_2Hz.iperf.csv,2.3099999999999996
1630,1630_1Hz.iperf.csv,10.8
1630,1630_2Hz.iperf.csv,10.589
1655,1655_2Hz.iperf.csv,10.382
1655,1655_1Hz.iperf.csv,2.625
1680,1680_2Hz.iperf.csv,3.6699999999999995
1680,1680_1Hz.iperf.csv,1.7850000000000001
1705,1705_2Hz.iperf.csv,1.9950000000000003
1705,1705_1Hz.iperf.csv,10.394
1730,1730_2Hz.iperf.csv,7.7620000000000005
1730,1730_1Hz.iperf.csv,2.518
1755,1755_1Hz.iperf.csv,10.277
1755,1755_2Hz.iperf.csv,1.6800000000000002
1780,1780_1Hz.iperf.csv,2.205
1780,1780_2Hz.iperf.csv,9.335999999999999
1805,1805_2Hz.iperf.csv,1.575
1805,1805_1Hz.iperf.csv,1.47
1830,1830_2Hz.iperf.csv,1.26
1830,1830_1Hz.iperf.csv,1.575
1855,1855_1Hz.iperf.csv,1.26
1855,1855_2Hz.iperf.csv,7.236999999999999
1880,1880_1Hz.iperf.csv,12.579999999999998
1880,1880_2Hz.iperf.csv,2.1000000000000005
1905,1905_1Hz.iperf.csv,9.027
1905,1905_2Hz.iperf.csv,1.89
1930,1930_1Hz.iperf.csv,1.7850000000000001
1930,1930_2Hz.iperf.csv,1.575
1955,1955_2Hz.iperf.csv,3.1499999999999995
1955,1955_1Hz.iperf.csv,9.971
1980,1980_2Hz.iperf.csv,4.715000000000001
1980,1980_1Hz.iperf.csv,2.1000000000000005
2005,2005_1Hz.iperf.csv,5.136
2005,2005_2Hz.iperf.csv,2.3099999999999996
2030,2030_1Hz.iperf.csv,9.125
2030,2030_2Hz.iperf.csv,1.155
2055,2055_2Hz.iperf.csv,1.8900000000000001
2055,2055_1Hz.iperf.csv,3.7739999999999996
2080,2080_2Hz.iperf.csv,1.7850000000000001
2080,2080_1Hz.iperf.csv,2.1000000000000005
2105,2105_2Hz.iperf.csv,1.6800000000000002
2105,2105_1Hz.iperf.csv,1.3649999999999998
2130,2130_2Hz.iperf.csv,1.575
2130,2130_1Hz.iperf.csv,1.575
2155,2155_1Hz.iperf.csv,1.575
2155,2155_2Hz.iperf.csv,1.575
2180,2180_1Hz.iperf.csv,9.656
2180,2180_2Hz.iperf.csv,11.309999999999999
2205,2205_2Hz.iperf.csv,1.575
2205,2205_1Hz.iperf.csv,1.47
2230,2230_2Hz.iperf.csv,10.282
2230,2230_1Hz.iperf.csv,11.1
2255,2255_1Hz.iperf.csv,1.3649999999999998
2255,2255_2Hz.iperf.csv,1.6800000000000002
2280,2280_1Hz.iperf.csv,1.26
2280,2280_2Hz.iperf.csv,1.575
2305,2305_1Hz.iperf.csv,10.282
2305,2305_2Hz.iperf.csv,1.6800000000000002
2330,2330_1Hz.iperf.csv,1.575
2330,2330_2Hz.iperf.csv,2.1000000000000005
2355,2355_2Hz.iperf.csv,1.8900000000000001
2355,2355_1Hz.iperf.csv,1.575
2380,2380_2Hz.iperf.csv,1.3649999999999998
2380,2380_1Hz.iperf.csv,1.6800000000000002
2405,2405_1Hz.iperf.csv,2.1000000000000005
2405,2405_2Hz.iperf.csv,1.6800000000000002
2430,2430_1Hz.iperf.csv,1.26
2430,2430_2Hz.iperf.csv,1.155
2455,2455_2Hz.iperf.csv,1.575
2455,2455_1Hz.iperf.csv,1.575
2480,2480_2Hz.iperf.csv,
2480,2480_1Hz.iperf.csv,2.1000000000000005
2500,2500_1Hz.iperf.csv,9.741
2500,2500_2Hz.iperf.csv,8.39
2505,2505_2Hz.iperf.csv,
2505,2505_1Hz.iperf.csv,
2525,2525_1Hz.iperf.csv,1.47
2525,2525_2Hz.iperf.csv,4.82
2530,2530_2Hz.iperf.csv,
2530,2530_1Hz.iperf.csv,
2550,2550_2Hz.iperf.csv,16.46
2550,2550_1Hz.iperf.csv,10.807999999999998
2555,2555_1Hz.iperf.csv,
2555,2555_2Hz.iperf.csv,
2575,2575_2Hz.iperf.csv,12.679999999999998
2575,2575_1Hz.iperf.csv,14.469999999999999
2580,2580_1Hz.iperf.csv,
2580,2580_2Hz.iperf.csv,
2600,2600_1Hz.iperf.csv,14.7
2600,2600_2Hz.iperf.csv,1.6780000000000002
2605,2605_2Hz.iperf.csv,
2605,2605_1Hz.iperf.csv,
2625,2625_1Hz.iperf.csv,7.2299999999999995
2625,2625_2Hz.iperf.csv,12.479999999999999
2630,2630_1Hz.iperf.csv,
2650,2650_2Hz.iperf.csv,12.989999999999998
2650,2650_1Hz.iperf.csv,12.363999999999999
2655,2655_1Hz.iperf.csv,
2675,2675_2Hz.iperf.csv,9.970999999999998
2675,2675_1Hz.iperf.csv,7.1240000000000006
2680,2680_2Hz.iperf.csv,
2700,2700_2Hz.iperf.csv,13.293999999999997
2700,2700_1Hz.iperf.csv,11.004
2725,2725_2Hz.iperf.csv,1.9950000000000003
2725,2725_1Hz.iperf.csv,1.155
2750,2750_1Hz.iperf.csv,1.0500000000000003
2750,2750_2Hz.iperf.csv,10.387
2775,2775_1Hz.iperf.csv,14.16
2775,2775_2Hz.iperf.csv,3.7730000000000006
2780,2780_2Hz.iperf.csv,
2800,2800_2Hz.iperf.csv,6.9239999999999995
2800,2800_1Hz.iperf.csv,10.785999999999998
2805,2805_1Hz.iperf.csv,
2805,2805_2Hz.iperf.csv,
2825,2825_2Hz.iperf.csv,10.905000000000001
2825,2825_1Hz.iperf.csv,8.916999999999998
2830,2830_1Hz.iperf.csv,
2850,2850_1Hz.iperf.csv,12.157
2850,2850_2Hz.iperf.csv,11.206999999999999
2875,2875_1Hz.iperf.csv,14.26
2875,2875_2Hz.iperf.csv,14.27
2900,2900_2Hz.iperf.csv,1.6800000000000002
2925,2925_1Hz.iperf.csv,12.27
2925,2925_2Hz.iperf.csv,10.588
2950,2950_2Hz.iperf.csv,12.154
