,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
23,4,160,160,0,23.85,95,92,3,25.65,24416,24416,31488,30672,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,488320.0,488320.0,629760.0,613440.0,0.0,0.031578947368421054
24,5,160,160,0,24.2,94,91,3,26.11,24816,24816,31552,30736,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,496320.0,496320.0,631040.0,614720.0,0.0,0.031914893617021274
25,6,160,160,0,23.59,93,92,1,25.43,24144,24144,30944,30672,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,482880.0,482880.0,618880.0,613440.0,0.0,0.010752688172043012
26,7,160,160,0,24.02,93,91,2,25.88,24856,24856,31456,30912,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,497120.0,497120.0,629120.0,618240.0,0.0,0.021505376344086023
27,8,160,160,0,24.21,92,91,1,26.11,25008,25008,31264,30992,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,500160.0,500160.0,625280.0,619840.0,0.0,0.010869565217391304
28,9,160,160,0,24.21,96,91,5,26.15,25024,25024,32128,30768,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,500480.0,500480.0,642560.0,615360.0,0.0,0.052083333333333336
29,10,160,160,0,23.85,93,91,2,25.69,24736,24736,30896,30352,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,494720.0,494720.0,617920.0,607040.0,0.0,0.021505376344086023
30,11,160,160,0,24.12,94,90,4,26.04,24928,24928,31360,30272,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,498560.0,498560.0,627200.0,605440.0,0.0,0.0425531914893617
31,12,160,160,0,24.45,93,90,3,26.16,25256,25256,31344,30528,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,505120.0,505120.0,626880.0,610560.0,0.0,0.03225806451612903
32,13,160,160,0,24.4,93,89,4,26.31,25312,25312,31456,30368,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,506240.0,506240.0,629120.0,607360.0,0.0,0.043010752688172046
33,14,160,160,0,24.48,93,92,1,26.35,25216,25216,31776,31504,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,504320.0,504320.0,635520.0,630080.0,0.0,0.010752688172043012
34,15,160,160,0,24.03,94,91,3,26.11,24736,24736,31632,30816,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,494720.0,494720.0,632640.0,616320.0,0.0,0.031914893617021274
35,16,160,160,0,24.81,95,88,7,26.79,25664,25664,32000,30096,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,513280.0,513280.0,640000.0,601920.0,0.0,0.07368421052631578
36,17,160,160,0,24.12,93,88,5,26.14,24648,24648,31008,29648,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,492960.0,492960.0,620160.0,592960.0,0.0,0.053763440860215055
37,18,160,160,0,24.06,92,88,4,26.09,24760,24760,30768,29680,2,0,51,5,0,250112-115821_Run_25_Idx_1764,70,0,5e-05,20000000,495200.0,495200.0,615360.0,593600.0,0.0,0.043478260869565216
