  ,     ,RNTI ,numDLTotal ,numDLnew ,numReTx_DL ,avgMCS_DL ,numULTotal ,numULnew ,numReTx_UL ,avgMCS_UL          ,DL_throughput_bits ,DL_goodput_bits ,UL_throughput_bits ,UL_goodput_bits ,TTI  ,PulseBWoffset ,numRBs ,NumFrames ,prf    ,FreqOffset ,PulseWidth             ,BW         ,DL_throughput_bps ,DL_goodput_bps ,UL_throughput_bps ,UL_goodput_bps ,DLReTxPrcnt ,ULReTxPrcnt
0 , 9.5 ,10.5 ,      97.5 ,    97.5 ,       0.0 ,  24.3735 ,     29.25 ,   29.25 ,       0.0 ,26.316000000000003 ,          171544.8 ,       171544.8 ,           54448.8 ,        54448.8 , 7.0 ,    1000000.0 ,  51.0 ,      5.0 ,2000.0 , 1000000.0 ,2.6500000000000004e-05 ,20000000.0 ,        3430896.0 ,     3430896.0 ,        1088976.0 ,     1088976.0 ,        0.0 ,0.0
1 ,29.5 ,10.5 ,      52.0 ,    52.0 ,       0.0 ,  24.2235 ,     11.7  ,   11.7  ,       0.0 ,26.133499999999998 ,          189290.4 ,       189290.4 ,           51620.0 ,        51620.0 ,14.0 ,    1000000.0 ,  51.0 ,      5.0 ,2000.0 , 1000000.0 ,3.490000000000001e-05  ,20000000.0 ,        3785808.0 ,     3785808.0 ,        1032400.0 ,     1032400.0 ,        0.0 ,0.0
2 ,49.5 ,10.5 ,     160.0 ,   160.0 ,       0.0 ,  24.34   ,     52.65 ,   52.15 ,       0.5 ,26.257500000000004 ,          104086.0 ,       104086.0 ,           45847.2 ,        45711.2 , 4.0 ,          0.0 ,  51.0 ,      5.0 ,2000.0 ,       0.0 ,6.029999999999998e-05  ,10000000.0 ,        2081720.0 ,     2081720.0 ,         916944.0 ,      914224.0 ,        0.0 ,0.009346610761705081
3 ,69.5 ,10.5 ,     160.0 ,   160.0 ,       0.0 ,  24.1405 ,     93.6  ,   90.5  ,       3.1 ,26.034999999999997 ,           24834.8 ,        24834.8 ,           31414.4 ,        30571.2 , 2.0 ,    5000000.0 ,  51.0 ,      5.0 ,2000.0 , 5000000.0 ,2.24e-05               , 1000000.0 ,         496696.0 ,      496696.0 ,         628288.0 ,      611424.0 ,        0.0 ,0.033001531115470294
