RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,52,52,0,23.96,12,12,0,26.33,190256,190256,53160,53160,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
2,52,52,0,24.08,12,12,0,26.17,191352,191352,52904,52904,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
3,52,52,0,24.15,12,12,0,26.67,190152,190152,53672,53672,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
4,52,52,0,23.73,12,12,0,26.0,189656,189656,52648,52648,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
5,52,52,0,24.08,12,12,0,25.67,192744,192744,52136,52136,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
6,52,52,0,24.42,12,12,0,26.33,195448,195448,53160,53160,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
7,52,52,0,24.23,12,12,0,26.17,189592,189592,54016,54016,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
8,52,52,0,23.96,12,12,0,25.67,186240,186240,52136,52136,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
9,52,52,0,24.31,12,12,0,26.17,189568,189568,52904,52904,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
10,52,52,0,24.15,12,12,0,25.83,188288,188288,52392,52392,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
11,52,52,0,24.31,12,12,0,26.33,186888,186888,53160,53160,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
12,52,52,0,24.92,12,12,0,26.67,193712,193712,53672,53672,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
13,52,52,0,24.5,12,12,0,26.33,190384,190384,53160,53160,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
14,52,52,0,24.13,12,12,0,26.33,187072,187072,53160,53160,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
15,52,52,0,24.27,11,11,0,26.09,184792,184792,48296,48296,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
16,52,52,0,23.85,11,11,0,25.55,183952,183952,47528,47528,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
17,52,52,0,24.19,11,11,0,26.27,187192,187192,48552,48552,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
18,52,52,0,24.5,11,11,0,26.27,190800,190800,48552,48552,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
19,52,52,0,23.81,11,11,0,25.55,182384,182384,47528,47528,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
20,52,52,0,24.92,11,11,0,26.27,195336,195336,49664,49664,14,1000000,51,5,241223-133631_Run_1_Idx_45602,2000,1000000,3.49e-05,20000000,1,0
