RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,140,20,24.25,92,65,27,26.09,24176,21224,30176,21648,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
2,160,140,20,24.59,90,65,25,26.6,24848,21792,30256,22032,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
3,160,141,19,24.7,86,62,24,26.81,25104,22128,29024,21168,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
4,160,140,20,24.32,90,66,24,26.27,24496,21320,29776,22128,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
5,160,137,23,24.3,89,65,24,26.37,24296,20800,29952,22080,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
6,160,138,22,24.96,88,62,26,26.91,25336,21816,29664,21200,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
7,160,140,20,24.32,86,62,24,26.19,24424,21480,28784,20800,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
8,160,143,17,24.19,87,63,24,26.08,24864,22368,28400,21008,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
9,160,144,16,24.35,86,64,22,26.07,26104,23776,28608,21376,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
10,160,145,15,24.79,85,61,24,26.81,29584,27448,28976,21056,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
11,160,145,15,24.74,85,62,23,26.79,28504,26296,29184,21360,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
12,160,148,12,24.2,82,65,17,26.07,30824,29096,27984,22192,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
13,160,145,15,23.96,83,66,17,25.87,27304,25080,27504,22016,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
14,160,145,15,24.39,87,65,22,26.36,25992,23624,29344,22080,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
15,160,142,18,24.18,87,63,24,26.1,26824,23904,29120,21184,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
16,160,141,19,24.01,85,65,20,25.8,25176,22192,28080,21520,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
17,160,140,20,23.82,86,65,21,25.67,24952,21824,28576,21664,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
18,160,140,20,24.3,88,63,25,26.32,24680,21504,30064,21552,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
19,160,140,20,24.45,89,63,26,26.42,24632,21496,30144,21600,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
20,160,141,19,24.11,82,61,21,25.85,24400,21440,27328,20496,2,2000000,51,5,241227-101431_Run_9_Idx_73474,2000,2000000,4.9999999999999996e-05,20000000,1,0
