RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,45,24,21,2.0,29,14,15,0.1,13240,6248,1832,832,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
2,37,23,14,2.08,31,15,16,0.06,9848,5784,1832,856,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
3,35,22,13,1.83,29,15,14,0.1,8192,4872,1776,912,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
4,37,22,15,2.27,30,15,15,0.13,11088,5944,1880,952,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
5,37,22,15,2.14,28,14,14,0.04,10072,5560,1648,816,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
6,37,23,14,2.0,25,15,10,0.08,10424,5584,1576,952,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
7,42,22,20,1.93,25,17,8,0.16,12448,5680,1528,1064,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
8,39,22,17,1.9,25,16,9,0.04,9992,5304,1464,968,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
9,36,23,13,2.08,26,19,7,0.08,8672,5504,1560,1176,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
10,38,23,15,2.13,22,19,3,0.09,9296,5872,1456,1264,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
11,34,20,14,2.35,22,18,4,0.05,11560,5440,1400,1144,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
12,39,23,16,2.21,23,19,4,0.0,10584,6056,1360,1136,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
13,35,19,16,2.09,23,19,4,0.04,10920,5048,1432,1176,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
14,40,20,20,1.92,26,19,7,0.04,11768,5272,1672,1224,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
15,33,22,11,1.97,27,18,9,0.11,7408,4888,1776,1160,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
16,36,23,13,2.11,27,17,10,0.04,10208,5336,1672,1032,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
17,37,21,16,1.68,30,17,13,0.07,10304,4512,2064,1112,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
18,45,23,22,1.42,26,16,10,0.08,10920,4416,1776,1016,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
19,39,21,18,1.92,28,17,11,0.04,11208,5016,1656,952,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
20,37,23,14,1.89,28,15,13,0.04,8448,5392,1744,928,7,1000000,51,5,241228-123632_Run_3_Idx_66054,2000,1000000,4.9999999999999996e-05,18000000,1,0
