RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,61,42,19,5,74,56,18,5
2,77,47,30,5,91,72,19,5
3,52,37,15,5,73,58,15,5
4,50,34,16,5,83,67,16,5
5,51,32,19,5,62,53,9,5
6,44,32,12,5,71,56,15,5
7,51,38,13,5,81,59,22,5
8,59,39,20,5,55,46,9,5
9,73,42,31,5,75,56,19,5
10,57,38,19,5,83,61,22,5
