,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
80,1,54,41,13,2.09,26,17,9,0.35,14728,7432,1632,1056,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,294560.0,148640.0,32640.0,21120.0,0.24074074074074073,0.34615384615384615
81,2,54,41,13,2.07,27,16,11,0.56,12400,7072,2416,1352,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,248000.0,141440.0,48320.0,27040.0,0.24074074074074073,0.4074074074074074
82,3,51,41,10,2.0,24,16,8,0.0,11656,7336,1504,992,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,233120.0,146720.0,30080.0,19840.0,0.19607843137254902,0.3333333333333333
83,4,56,41,15,1.89,28,17,11,0.32,14288,7128,1760,1056,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,285760.0,142560.0,35200.0,21120.0,0.26785714285714285,0.39285714285714285
84,5,51,43,8,1.67,29,17,12,0.31,10000,7008,1912,1144,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,200000.0,140160.0,38240.0,22880.0,0.1568627450980392,0.41379310344827586
85,6,55,43,12,1.73,25,15,10,0.36,12112,6944,2048,1288,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,242240.0,138880.0,40960.0,25760.0,0.21818181818181817,0.4
86,7,50,42,8,1.82,26,16,10,0.0,11472,7136,1632,992,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,229440.0,142720.0,32640.0,19840.0,0.16,0.38461538461538464
87,8,49,41,8,1.63,26,17,9,0.12,9200,6384,1632,1056,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,184000.0,127680.0,32640.0,21120.0,0.16326530612244897,0.34615384615384615
88,9,50,43,7,1.82,25,18,7,0.6,10608,6840,2288,1480,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,212160.0,136800.0,45760.0,29600.0,0.14,0.28
89,10,50,43,7,1.18,26,17,9,0.0,7240,5864,1632,1056,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,144800.0,117280.0,32640.0,21120.0,0.14,0.34615384615384615
90,11,51,43,8,1.73,27,17,10,0.11,10040,6800,1696,1056,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,200800.0,136000.0,33920.0,21120.0,0.1568627450980392,0.37037037037037035
91,12,52,42,10,1.42,25,18,7,0.36,9224,6080,1928,1360,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,184480.0,121600.0,38560.0,27200.0,0.19230769230769232,0.28
92,13,50,41,9,1.7,26,17,9,0.35,10256,6568,2168,1232,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,205120.0,131360.0,43360.0,24640.0,0.18,0.34615384615384615
93,14,51,43,8,2.06,25,17,8,0.0,11088,7240,1600,1088,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,221760.0,144800.0,32000.0,21760.0,0.1568627450980392,0.32
94,15,49,40,9,2.12,25,16,9,0.12,12272,7336,1720,1144,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,245440.0,146720.0,34400.0,22880.0,0.1836734693877551,0.36
95,16,49,38,11,1.73,24,16,8,0.25,10688,6136,1776,1144,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,213760.0,122720.0,35520.0,22880.0,0.22448979591836735,0.3333333333333333
96,17,50,40,10,2.04,26,15,11,0.23,12160,6480,1784,1080,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,243200.0,129600.0,35680.0,21600.0,0.2,0.4230769230769231
97,18,48,40,8,1.98,24,15,9,0.38,11640,6984,1536,960,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,232800.0,139680.0,30720.0,19200.0,0.16666666666666666,0.375
98,19,49,42,7,1.29,23,15,8,0.78,7856,5776,2192,1320,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,157120.0,115520.0,43840.0,26400.0,0.14285714285714285,0.34782608695652173
99,20,47,41,6,1.89,25,15,10,0.12,10784,6736,1600,960,7,9500000,51,5,241230-185141_Run_35_Idx_4050,2000,9500000,8.172727272727273e-06,1000000,215680.0,134720.0,32000.0,19200.0,0.1276595744680851,0.4
100,1,23,20,3,2.3,11,3,8,0.09,10808,8544,1584,432,14,9500000,51,5,241230-172515_Run_44_Idx_64514,2000,9500000,1.0190909090909092e-05,1000000,216160.0,170880.0,31680.0,8640.0,0.13043478260869565,0.7272727272727273
