     ,RNTI ,Frame ,Slot ,Grant type ,RBG                              ,Start Sym ,Num Sym ,MCS ,NumLayers ,HARQ ID ,NDI Flag ,RV ,Tx Type ,FdbkOffst              ,CQIs
  38 ,   9 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]" ,        6 ,      2 ,  5 ,        1 ,      3 ,       1 , 0 ,newTx   ,2                      ,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
  39 ,  10 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]" ,        6 ,      2 ,  5 ,        1 ,      3 ,       1 , 0 ,newTx   ,2                      ,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
  40 ,   1 ,    0 ,   1 ,DL         ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
  41 ,   2 ,    0 ,   1 ,DL         ,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
  42 ,   3 ,    0 ,   1 ,DL         ,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
  43 ,   4 ,    0 ,   1 ,DL         ,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
  44 ,   5 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
  45 ,   6 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[2, 8, 4, 6, 2, 7, 3, 7, 7, 8, 5, 1, 3, 10, 2, 9, 6, 10, 1, 5]"
  46 ,   7 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[2, 10, 1, 8, 9, 9, 1, 4, 3, 9, 5, 10, 2, 3, 2, 2, 9, 6, 6, 2]"
  47 ,   8 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[9, 7, 4, 6, 5, 1, 3, 2, 2, 3, 5, 1, 10, 10, 5, 5, 4, 10, 4, 2]"
  48 ,   9 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
  49 ,  10 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]" ,        8 ,      2 ,  5 ,        1 ,      4 ,       1 , 0 ,newTx   ,2                      ,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
  50 ,   1 ,    0 ,   1 ,DL         ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
  51 ,   2 ,    0 ,   1 ,DL         ,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
  52 ,   3 ,    0 ,   1 ,DL         ,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
  53 ,   4 ,    0 ,   1 ,DL         ,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
  54 ,   5 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
  55 ,   6 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[2, 8, 4, 6, 2, 7, 3, 7, 7, 8, 5, 1, 3, 10, 2, 9, 6, 10, 1, 5]"
  56 ,   7 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[2, 10, 1, 8, 9, 9, 1, 4, 3, 9, 5, 10, 2, 3, 2, 2, 9, 6, 6, 2]"
  57 ,   8 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[9, 7, 4, 6, 5, 1, 3, 2, 2, 3, 5, 1, 10, 10, 5, 5, 4, 10, 4, 2]"
  58 ,   9 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
  59 ,  10 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]" ,       10 ,      2 ,  5 ,        1 ,      5 ,       1 , 0 ,newTx   ,2                      ,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
  60 ,   1 ,    0 ,   1 ,DL         ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
  61 ,   2 ,    0 ,   1 ,DL         ,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
  62 ,   3 ,    0 ,   1 ,DL         ,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
  63 ,   4 ,    0 ,   1 ,DL         ,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
  64 ,   5 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
  65 ,   6 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[2, 8, 4, 6, 2, 7, 3, 7, 7, 8, 5, 1, 3, 10, 2, 9, 6, 10, 1, 5]"
  66 ,   7 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[2, 10, 1, 8, 9, 9, 1, 4, 3, 9, 5, 10, 2, 3, 2, 2, 9, 6, 6, 2]"
  67 ,   8 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[9, 7, 4, 6, 5, 1, 3, 2, 2, 3, 5, 1, 10, 10, 5, 5, 4, 10, 4, 2]"
  68 ,   9 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
  69 ,  10 ,    0 ,   1 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]" ,       12 ,      2 ,  5 ,        1 ,      6 ,       1 , 0 ,newTx   ,2                      ,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
  70 ,   1 ,    0 ,   2 ,DL         ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
  71 ,   2 ,    0 ,   2 ,DL         ,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
  72 ,   3 ,    0 ,   2 ,DL         ,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
  73 ,   4 ,    0 ,   2 ,DL         ,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
  74 ,   5 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
  75 ,   6 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[2, 8, 4, 6, 2, 7, 3, 7, 7, 8, 5, 1, 3, 10, 2, 9, 6, 10, 1, 5]"
  76 ,   7 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[2, 10, 1, 8, 9, 9, 1, 4, 3, 9, 5, 10, 2, 3, 2, 2, 9, 6, 6, 2]"
  77 ,   8 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[9, 7, 4, 6, 5, 1, 3, 2, 2, 3, 5, 1, 10, 10, 5, 5, 4, 10, 4, 2]"
  78 ,   9 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[8, 4, 3, 5, 1, 2, 10, 10, 6, 1, 3, 4, 9, 1, 1, 2, 7, 8, 7, 5]"
  79 ,  10 ,    0 ,   2 ,DL         ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]" ,        0 ,      2 ,  5 ,        1 ,      7 ,       1 , 0 ,newTx   ,2                      ,"[6, 3, 8, 2, 7, 2, 4, 7, 8, 1, 10, 8, 5, 5, 5, 4, 6, 6, 9, 8]"
  80 ,   1 ,    0 ,   2 ,DL         ,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]" ,        2 ,      2 ,  5 ,        1 ,      8 ,       1 , 0 ,newTx   ,2                      ,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
