,RNTI,Frame,Slot,Grant type,RBG,Start Sym,Num Sym,MCS,NumLayers,HARQ ID,NDI Flag,RV,Tx Type,FdbkOffst,CQIs
0,1,0,1,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,4,5,1,0,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
1,2,0,1,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,4,5,1,0,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
2,3,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,4,5,1,0,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
3,4,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,4,5,1,0,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
4,5,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,4,5,1,0,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
5,1,0,1,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,4,5,1,1,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
6,2,0,1,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,4,5,1,1,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
7,3,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",4,4,5,1,1,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
8,4,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",4,4,5,1,1,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
9,5,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",4,4,5,1,1,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
10,1,0,1,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,4,5,1,2,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
11,2,0,1,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",8,4,5,1,2,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
12,3,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",8,4,5,1,2,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
13,4,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",8,4,5,1,2,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
14,5,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",8,4,5,1,2,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
15,1,0,1,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",12,2,5,1,3,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
16,2,0,1,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",12,2,5,1,3,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
17,3,0,1,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",12,2,5,1,3,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
18,4,0,1,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",12,2,5,1,3,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
19,5,0,1,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",12,2,5,1,3,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
20,1,0,2,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,4,5,1,4,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
21,2,0,2,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,4,5,1,4,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
22,3,0,2,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,4,5,1,4,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
23,4,0,2,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,4,5,1,4,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
24,5,0,2,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,4,5,1,4,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
25,1,0,2,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,4,5,1,5,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
26,2,0,2,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,4,5,1,5,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
27,3,0,2,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",4,4,5,1,5,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
28,4,0,2,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",4,4,5,1,5,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
29,5,0,2,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",4,4,5,1,5,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
30,1,0,5,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,4,5,1,6,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
31,2,0,5,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",0,4,5,1,6,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
32,3,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",0,4,5,1,6,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
33,4,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",0,4,5,1,6,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
34,5,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",0,4,5,1,6,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
35,1,0,5,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4,4,5,1,7,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
36,2,0,5,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",4,4,5,1,7,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
37,3,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",4,4,5,1,7,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
38,4,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",4,4,5,1,7,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
39,5,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",4,4,5,1,7,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
40,1,0,5,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8,4,5,1,8,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
41,2,0,5,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",8,4,5,1,8,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
42,3,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",8,4,5,1,8,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
43,4,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",8,4,5,1,8,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
44,5,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",8,4,5,1,8,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
45,1,0,5,DL,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",12,2,5,1,9,1,0,newTx,2,"[9, 10, 2, 10, 7, 1, 3, 6, 10, 10, 2, 10, 10, 5, 9, 2, 5, 10, 8, 10]"
46,2,0,5,DL,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",12,2,5,1,9,1,0,newTx,2,"[7, 1, 9, 10, 7, 8, 8, 4, 7, 2, 8, 1, 3, 1, 1, 9, 7, 4, 10, 1]"
47,3,0,5,DL,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",12,2,5,1,9,1,0,newTx,2,"[5, 4, 8, 8, 2, 5, 5, 7, 8, 8, 3, 7, 7, 2, 2, 5, 10, 4, 6, 3]"
48,4,0,5,DL,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",12,2,5,1,9,1,0,newTx,2,"[8, 3, 6, 7, 9, 10, 6, 2, 2, 3, 9, 3, 9, 3, 10, 4, 2, 3, 7, 5]"
49,5,0,5,DL,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",12,2,5,1,9,1,0,newTx,2,"[4, 9, 6, 6, 10, 3, 8, 8, 4, 6, 1, 1, 6, 8, 10, 2, 6, 5, 1, 4]"
