Tap #,Normalized delay,Power in [dB],Fading distribution,Type
1,0.0,-0.2,LOS path,TDL-D
2,0.0,-13.5,Rayleigh,TDL-D
3,0.035,-18.8,Rayleigh,TDL-D
4,0.612,-21.0,Rayleigh,TDL-D
5,1.363,-22.8,Rayleigh,TDL-D
6,1.405,-17.9,Rayleigh,TDL-D
7,1.804,-20.1,Rayleigh,TDL-D
8,2.596,-21.9,Rayleigh,TDL-D
9,4.042,-27.8,Rayleigh,TDL-D
10,7.937,-23.6,Rayleigh,TDL-D
11,9.424,-24.8,Rayleigh,TDL-D
12,9.708,-30.0,Rayleigh,TDL-D
13,12.525,-27.7,Rayleigh,TDL-D
