,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
175,16,52,52,0,23.46,7,3,4,25.29,180424,180424,30464,13056,14,0,51,5,-55,250101-141441_Run_64_Idx_88143,2000,0,5e-05,20000000,3608480.0,3608480.0,609280.0,261120.0,0.0,0.5714285714285714
176,17,52,52,0,23.08,8,2,6,25.0,177224,177224,34816,8704,14,0,51,5,-55,250101-141441_Run_64_Idx_88143,2000,0,5e-05,20000000,3544480.0,3544480.0,696320.0,174080.0,0.0,0.75
177,18,52,51,1,23.54,9,3,6,25.44,182168,177688,39168,13056,14,0,51,5,-55,250101-141441_Run_64_Idx_88143,2000,0,5e-05,20000000,3643360.0,3553760.0,783360.0,261120.0,0.019230769230769232,0.6666666666666666
178,19,52,52,0,23.12,8,3,5,25.25,178352,178352,29768,11088,14,0,51,5,-55,250101-141441_Run_64_Idx_88143,2000,0,5e-05,20000000,3567040.0,3567040.0,595360.0,221760.0,0.0,0.625
179,20,51,51,0,23.12,6,3,3,24.67,179184,179184,25000,11944,14,0,51,5,-55,250101-141441_Run_64_Idx_88143,2000,0,5e-05,20000000,3583680.0,3583680.0,500000.0,238880.0,0.0,0.5
180,1,52,52,0,23.81,12,12,0,26.17,189624,189624,52904,52904,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3792480.0,3792480.0,1058080.0,1058080.0,0.0,0.0
181,2,52,52,0,24.35,12,12,0,26.67,194112,194112,53672,53672,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3882240.0,3882240.0,1073440.0,1073440.0,0.0,0.0
182,3,52,52,0,24.38,12,12,0,26.83,191760,191760,53928,53928,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3835200.0,3835200.0,1078560.0,1078560.0,0.0,0.0
183,4,52,52,0,24.5,12,12,0,26.5,195760,195760,53416,53416,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3915200.0,3915200.0,1068320.0,1068320.0,0.0,0.0
184,5,52,52,0,24.08,12,12,0,26.17,192912,192912,52904,52904,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3858240.0,3858240.0,1058080.0,1058080.0,0.0,0.0
185,6,52,52,0,24.58,12,12,0,26.33,196392,196392,53160,53160,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3927840.0,3927840.0,1063200.0,1063200.0,0.0,0.0
186,7,52,52,0,24.31,12,12,0,25.67,189864,189864,53248,53248,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3797280.0,3797280.0,1064960.0,1064960.0,0.0,0.0
187,8,52,52,0,23.77,12,12,0,25.67,185104,185104,52136,52136,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3702080.0,3702080.0,1042720.0,1042720.0,0.0,0.0
188,9,52,52,0,24.42,12,12,0,26.0,190520,190520,52648,52648,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3810400.0,3810400.0,1052960.0,1052960.0,0.0,0.0
189,10,52,52,0,24.42,12,12,0,26.33,190928,190928,53160,53160,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3818560.0,3818560.0,1063200.0,1063200.0,0.0,0.0
190,11,52,52,0,24.15,12,12,0,26.17,185312,185312,52904,52904,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3706240.0,3706240.0,1058080.0,1058080.0,0.0,0.0
191,12,52,52,0,24.42,12,12,0,26.33,189616,189616,53160,53160,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3792320.0,3792320.0,1063200.0,1063200.0,0.0,0.0
192,13,52,52,0,24.54,12,12,0,26.5,191096,191096,53416,53416,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3821920.0,3821920.0,1068320.0,1068320.0,0.0,0.0
193,14,52,52,0,24.54,12,12,0,26.33,189560,189560,53160,53160,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3791200.0,3791200.0,1063200.0,1063200.0,0.0,0.0
194,15,52,52,0,24.73,11,11,0,26.45,188328,188328,48808,48808,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3766560.0,3766560.0,976160.0,976160.0,0.0,0.0
195,16,52,52,0,24.27,11,11,0,26.09,187512,187512,48296,48296,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3750240.0,3750240.0,965920.0,965920.0,0.0,0.0
196,17,52,52,0,24.69,11,11,0,26.64,191112,191112,49064,49064,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3822240.0,3822240.0,981280.0,981280.0,0.0,0.0
197,18,52,52,0,24.42,11,11,0,26.27,190456,190456,48552,48552,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3809120.0,3809120.0,971040.0,971040.0,0.0,0.0
198,19,52,52,0,23.88,11,11,0,25.73,183088,183088,47784,47784,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3661760.0,3661760.0,955680.0,955680.0,0.0,0.0
199,20,52,52,0,24.27,11,11,0,26.45,190448,190448,49920,49920,14,0,51,5,-95,250101-142249_Run_96_Idx_60203,2000,0,5e-05,20000000,3808960.0,3808960.0,998400.0,998400.0,0.0,0.0
200,1,160,140,20,10.88,92,82,10,11.17,9952,8688,11768,10464,2,0,51,5,-35,250101-141027_Run_45_Idx_86713,2000,0,5e-05,20000000,199040.0,173760.0,235360.0,209280.0,0.125,0.10869565217391304
201,2,160,144,16,10.99,93,82,11,11.39,10520,9480,12064,10560,2,0,51,5,-35,250101-141027_Run_45_Idx_86713,2000,0,5e-05,20000000,210400.0,189600.0,241280.0,211200.0,0.1,0.11827956989247312
