Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,5.08,42.6,0,KBytes
1.00,5.50,46.1,0,KBytes
2.00,5.62,47.2,0,KBytes
3.00,5.25,44.0,0,MBytes
4.00,5.38,45.1,0,MBytes
5.00,5.12,43.0,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.12,43.0,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.12,43.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.00,41.9,0,MBytes
14.00,5.12,43.0,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.12,43.0,0,MBytes
17.00,2.12,17.8,0,MBytes
18.00,0.00,0.00,1,KBytes
19.00,256,2.10,12,MBytes
20.00,1.88,15.7,33,MBytes
21.00,256,2.10,0,MBytes
22.00,0.00,0.00,0,MBytes
23.00,0.00,0.00,0,MBytes
24.00,768,6.29,109,KBytes
25.00,0.00,0.00,0,KBytes
26.00,0.00,0.00,0,KBytes
27.00,0.00,0.00,0,KBytes
28.00,0.00,0.00,0,KBytes
29.00,0.00,0.00,0,KBytes
30.00,0.00,0.00,0,KBytes
31.00,0.00,0.00,0,KBytes
32.00,0.00,0.00,1,KBytes
33.00,0.00,0.00,0,KBytes
34.00,0.00,0.00,0,KBytes
35.00,0.00,0.00,0,KBytes
36.00,0.00,0.00,0,KBytes
37.00,512,4.19,687,KBytes
38.00,3.62,30.4,0,MBytes
39.00,5.00,41.9,0,MBytes
40.00,5.12,43.0,0,MBytes
41.00,4.88,40.9,0,MBytes
42.00,5.12,43.0,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.12,43.0,0,MBytes
45.00,4.88,41.8,0,MBytes
0.00,132,24.1,843,
0.00,0.00,0.00,receiver,
