Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,3.58,30.1,0,KBytes
1.00,5.62,47.2,0,KBytes
2.00,5.50,46.1,0,KBytes
3.00,5.62,47.2,0,KBytes
4.00,5.38,45.1,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.12,43.0,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.00,41.9,0,MBytes
11.00,5.12,43.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.00,41.9,0,MBytes
15.00,5.00,41.9,0,MBytes
16.00,5.12,43.0,0,MBytes
17.00,2.88,24.1,0,MBytes
18.00,0.00,0.00,1,KBytes
19.00,2.38,19.9,38,KBytes
20.00,640,5.24,2,MBytes
21.00,640,5.24,0,MBytes
22.00,256,2.10,229,KBytes
23.00,0.00,0.00,0,KBytes
24.00,0.00,0.00,0,KBytes
25.00,128,1.05,301,KBytes
26.00,256,2.10,600,KBytes
27.00,640,5.24,50,KBytes
28.00,896,7.34,0,KBytes
29.00,256,2.10,0,KBytes
30.00,256,2.10,0,KBytes
31.00,256,2.10,0,KBytes
32.00,256,2.10,0,KBytes
33.00,128,1.05,0,KBytes
34.00,256,2.10,0,KBytes
35.00,128,1.05,0,KBytes
36.00,128,1.05,0,KBytes
37.00,256,2.10,0,MBytes
38.00,768,6.29,0,MBytes
39.00,1.12,9.44,0,MBytes
40.00,1.50,12.6,0,MBytes
41.00,3.88,32.5,0,MBytes
42.00,5.25,44.0,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.00,41.9,0,MBytes
45.00,4.88,42.9,0,MBytes
0.00,124,22.7,1221,
0.00,0.00,0.00,receiver,
