,Unnamed: 0,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
17,349.5,10.5,78.5,28.8,49.7,19.940999999999995,24.5,8.65,15.85,16.673,72183.6,25132.0,17458.0,5119.2,7.0,0.0,51.0,5.0,3200.0,0.0,6.58e-05,20000000.0,1443672.0,502640.0,349160.0,102384.0,0.6328702531103492,0.6456733186298405
18,369.5,10.5,94.3,76.05,18.25,19.811500000000002,27.2,25.25,1.95,20.011999999999997,125871.6,102563.2,40412.0,36399.6,7.0,0.0,51.0,5.0,800.0,0.0,4.819999999999999e-05,20000000.0,2517432.0,2051264.0,808240.0,727992.0,0.19327231492336833,0.07130138380138376
19,389.5,10.5,147.15,76.85,70.3,22.727500000000003,40.7,20.45,20.25,23.612000000000002,97566.4,48236.4,33236.8,13504.0,4.0,0.0,51.0,5.0,3200.0,0.0,4.1099999999999996e-05,20000000.0,1951328.0,964728.0,664736.0,270080.0,0.4774643249561006,0.494377218260332
20,409.5,10.5,50.2,18.55,31.65,19.182,10.3,3.5,6.8,20.0385,85713.2,29023.6,29839.2,8680.0,14.0,0.0,51.0,5.0,2500.0,0.0,4.19e-05,20000000.0,1714264.0,580472.0,596784.0,173600.0,0.6306533667164376,0.6572119547119546
21,429.5,10.5,122.9,67.3,55.6,17.6155,44.2,21.2,23.0,16.026999999999997,61182.0,30241.2,14539.6,6730.4,4.0,0.0,51.0,5.0,2560.0,0.0,7.92e-05,20000000.0,1223640.0,604824.0,290792.0,134608.0,0.452287242142987,0.5198375012708678
22,449.5,10.5,160.0,147.8,12.2,24.2775,92.45,85.1,7.35,26.179000000000002,24985.6,23178.8,31034.4,28829.6,2.0,0.0,51.0,5.0,600.0,0.0,6.13e-05,20000000.0,499712.0,463576.0,620688.0,576592.0,0.07625000000000001,0.07900142708532079
23,469.5,10.5,154.35,100.65,53.7,19.509499999999996,85.6,54.9,30.7,20.0815,20155.2,12953.2,19537.6,12263.2,2.0,0.0,51.0,5.0,3840.0,0.0,1.0300000000000001e-05,20000000.0,403104.0,259064.0,390752.0,245264.0,0.3480416059843069,0.35722540323355945
24,489.5,10.5,48.3,15.1,33.2,24.115000000000002,9.4,2.55,6.85,26.1615,122152.4,38316.4,40310.8,10870.0,14.0,0.0,51.0,5.0,2500.0,0.0,2.04e-05,20000000.0,2443048.0,766328.0,806216.0,217400.0,0.6869198771172728,0.7267207792207792
25,509.5,10.5,143.65,80.55,63.1,18.457500000000003,81.5,41.85,39.65,18.416999999999998,18954.8,10556.0,14464.4,7690.8,2.0,0.0,51.0,5.0,3750.0,0.0,6.989999999999999e-05,20000000.0,379096.0,211120.0,289288.0,153816.0,0.43921247937066327,0.48500499161230576
26,529.5,10.5,157.6,123.75,33.85,17.676,85.35,62.0,23.35,18.755999999999997,19374.0,14525.2,20250.0,14064.0,2.0,0.0,51.0,5.0,1875.0,0.0,4.27e-05,20000000.0,387480.0,290504.0,405000.0,281280.0,0.21474370589468156,0.27297534279941693
27,549.5,10.5,152.9,107.3,45.6,17.2035,85.3,53.4,31.9,17.842000000000002,17929.2,12330.0,16965.2,9860.0,2.0,0.0,51.0,5.0,2560.0,0.0,6.529999999999997e-05,20000000.0,358584.0,246600.0,339304.0,197200.0,0.29830793732466976,0.3714992367801451
28,569.5,10.5,144.0,79.8,64.2,18.143000000000004,80.5,40.25,40.25,18.225,17895.2,9586.4,14617.6,6862.8,2.0,0.0,51.0,5.0,3840.0,0.0,6.13e-05,20000000.0,357904.0,191728.0,292352.0,137256.0,0.44585798769888185,0.4981007732799414
29,589.5,10.5,91.8,27.6,64.2,24.300999999999995,19.1,5.3,13.8,26.3545,117214.0,36463.6,35920.8,9986.0,7.0,0.0,51.0,5.0,4000.0,0.0,8.8e-06,20000000.0,2344280.0,729272.0,718416.0,199720.0,0.6992627159400936,0.722090902948101
30,609.5,10.5,160.0,147.3,12.7,24.314500000000002,92.05,84.1,7.95,26.176499999999997,25090.0,23227.2,30922.4,28483.2,2.0,0.0,51.0,5.0,800.0,0.0,7.699999999999999e-06,20000000.0,501800.0,464544.0,618448.0,569664.0,0.079375,0.0860885108618976
31,629.5,10.5,48.9,15.0,33.9,24.173,9.5,2.65,6.85,26.136999999999993,122786.8,38911.2,40036.8,11074.4,14.0,0.0,51.0,5.0,2000.0,0.0,3.669999999999999e-05,20000000.0,2455736.0,778224.0,800736.0,221488.0,0.6930406773511482,0.7211688311688311
32,649.5,10.5,48.3,15.1,33.2,24.115000000000002,9.4,2.55,6.85,26.1615,122152.4,38316.4,40310.8,10870.0,14.0,0.0,51.0,5.0,2500.0,0.0,2.04e-05,20000000.0,2443048.0,766328.0,806216.0,217400.0,0.6869198771172728,0.7267207792207792
33,669.5,10.5,91.05,48.7,42.35,19.294499999999996,22.75,12.35,10.4,19.7085,107083.6,51576.8,31290.8,15752.0,7.0,0.0,51.0,5.0,1500.0,0.0,9.57e-05,20000000.0,2141672.0,1031536.0,625816.0,315040.0,0.4631731084145998,0.4456418228775208
34,689.5,10.5,159.45,133.2,26.25,22.1915,88.2,64.2,24.0,23.449000000000005,23071.6,19331.2,26208.4,18716.4,2.0,0.0,51.0,5.0,1280.0,0.0,4e-05,20000000.0,461432.0,386624.0,524168.0,374328.0,0.16464901281745084,0.2718744427323803
35,709.5,10.5,160.0,147.75,12.25,24.186,51.55,49.05,2.5,26.071500000000004,104681.2,95398.4,44660.0,42347.6,4.0,0.0,51.0,5.0,500.0,0.0,5.4e-05,20000000.0,2093624.0,1907968.0,893200.0,846952.0,0.07656249999999999,0.04750492520827066
36,729.5,10.5,160.0,145.25,14.75,24.217499999999998,91.5,81.9,9.6,26.121500000000005,24946.0,22796.0,30698.4,27688.8,2.0,0.0,51.0,5.0,1600.0,0.0,3.999999999999999e-07,20000000.0,498920.0,455920.0,613968.0,553776.0,0.0921875,0.10407538891976016
37,749.5,10.5,160.0,101.35,58.65,24.35,84.8,52.85,31.95,26.253999999999998,25219.2,15978.4,28268.8,17804.8,2.0,0.0,51.0,5.0,2000.0,0.0,9.03e-05,20000000.0,504384.0,319568.0,565376.0,356096.0,0.36656249999999996,0.37529978638992556
38,769.5,10.5,47.65,17.05,30.6,24.1325,9.6,3.45,6.15,26.164000000000005,138942.4,46411.6,40950.0,14773.6,14.0,0.0,51.0,5.0,1500.0,0.0,4.4300000000000006e-05,20000000.0,2778848.0,928232.0,819000.0,295472.0,0.6410242660517764,0.6403896103896102
39,789.5,10.5,152.05,126.45,25.6,20.2255,88.65,66.3,22.35,20.579,20948.4,17068.8,22278.0,16425.2,2.0,0.0,51.0,5.0,1280.0,0.0,3.58e-05,20000000.0,418968.0,341376.0,445560.0,328504.0,0.16834679960368865,0.2506920566227108
40,809.5,10.5,160.0,145.2,14.8,24.262999999999998,87.1,66.4,20.7,26.1695,25166.8,22725.2,29135.2,22394.4,2.0,0.0,51.0,5.0,960.0,0.0,3.06e-05,20000000.0,503336.0,454504.0,582704.0,447888.0,0.0925,0.23607874637852172
41,829.5,10.5,89.25,47.6,41.65,19.589499999999997,22.95,12.25,10.7,19.5285,99094.8,49378.8,27945.6,12913.2,7.0,0.0,51.0,5.0,1920.0,0.0,8.470000000000001e-05,20000000.0,1981896.0,987576.0,558912.0,258264.0,0.4652653691873124,0.4554979486635567
42,849.5,10.5,49.25,17.15,32.1,12.413499999999999,10.5,3.65,6.85,10.992,49267.2,19710.4,19306.4,6668.0,14.0,0.0,51.0,5.0,3750.0,0.0,5.689999999999999e-05,20000000.0,985344.0,394208.0,386128.0,133360.0,0.6512113879993385,0.6447981185481185
43,869.5,10.5,47.85,19.35,28.5,24.08,9.45,3.15,6.3,26.1,144117.2,54934.8,40272.4,13340.0,14.0,0.0,51.0,5.0,1280.0,0.0,7.630000000000001e-05,20000000.0,2882344.0,1098696.0,805448.0,266800.0,0.5938080544047815,0.6582138694638694
44,889.5,10.5,159.8,135.75,24.05,24.214000000000002,50.6,45.05,5.55,26.115500000000004,107859.6,89874.0,43545.6,38230.0,4.0,0.0,51.0,5.0,1000.0,0.0,1.78e-05,20000000.0,2157192.0,1797480.0,870912.0,764600.0,0.15047169811320754,0.10752692366767994
45,909.5,10.5,159.2,130.4,28.8,19.633,89.75,77.8,11.95,20.935499999999998,21222.4,17074.0,24278.4,21016.4,2.0,0.0,51.0,5.0,1200.0,0.0,6.419999999999997e-05,20000000.0,424448.0,341480.0,485568.0,420328.0,0.18089506757976487,0.1322854716853086
46,929.5,10.5,89.85,27.45,62.4,24.2235,19.85,5.8,14.05,26.2445,114265.2,36086.8,37028.8,10853.6,7.0,0.0,51.0,5.0,4000.0,0.0,4.75e-05,20000000.0,2285304.0,721736.0,740576.0,217072.0,0.6943718833873209,0.7061101700232133
47,949.5,10.5,33.85,14.55,19.3,2.2355,26.15,7.5,18.65,0.0785,10225.6,5057.2,1570.0,452.4,7.0,0.0,51.0,5.0,4000.0,0.0,9.329999999999999e-05,20000000.0,204512.0,101144.0,31400.0,9048.0,0.5652680453208204,0.7131378043795464
48,969.5,10.5,160.0,147.65,12.35,24.1765,52.65,49.75,2.9,26.066499999999998,95753.2,93960.0,44068.4,43107.6,4.0,0.0,51.0,5.0,500.0,0.0,7.000000000000001e-06,20000000.0,1915064.0,1879200.0,881368.0,862152.0,0.07718749999999999,0.054561228408620155
49,989.5,10.5,160.0,105.0,55.0,24.318,83.1,48.1,35.0,26.214,24797.2,16466.4,27690.4,16136.0,2.0,0.0,51.0,5.0,4000.0,0.0,3.5000000000000012e-06,20000000.0,495944.0,329328.0,553808.0,322720.0,0.3437500000000001,0.419336263171495
50,1009.5,10.5,47.55,19.35,28.2,24.115000000000002,9.45,2.75,6.7,26.259000000000004,145397.6,55683.2,41297.6,11842.8,14.0,0.0,51.0,5.0,1280.0,0.0,4.02e-05,20000000.0,2907952.0,1113664.0,825952.0,236856.0,0.5926509310120457,0.7073809523809522
51,1029.5,10.5,48.5,14.95,33.55,24.282,9.75,2.85,6.9,26.295000000000005,121452.0,38602.8,42052.0,12282.4,14.0,0.0,51.0,5.0,2000.0,0.0,9.099999999999999e-05,20000000.0,2429040.0,772056.0,841040.0,245648.0,0.6917257170010016,0.7052272727272726
52,1049.5,10.5,42.25,12.45,29.8,22.201,10.75,2.95,7.8,20.327,82427.2,27192.8,22748.4,6110.0,14.0,0.0,51.0,5.0,2400.0,0.0,1.37e-05,20000000.0,1648544.0,543856.0,454968.0,122200.0,0.7047952291100475,0.7237062937062937
53,1069.5,10.5,143.65,80.55,63.1,18.457500000000003,81.5,41.85,39.65,18.416999999999998,18954.8,10556.0,14464.4,7690.8,2.0,0.0,51.0,5.0,3750.0,0.0,6.989999999999999e-05,20000000.0,379096.0,211120.0,289288.0,153816.0,0.43921247937066327,0.48500499161230576
54,1089.5,10.5,89.25,47.6,41.65,19.589499999999997,22.95,12.25,10.7,19.5285,99094.8,49378.8,27945.6,12913.2,7.0,0.0,51.0,5.0,1920.0,0.0,8.470000000000001e-05,20000000.0,1981896.0,987576.0,558912.0,258264.0,0.4652653691873124,0.4554979486635567
