RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,160,0,23.92,93,92,1,25.69,24488,24488,31296,31024,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
2,160,160,0,23.68,94,92,2,25.51,24208,24208,31088,30544,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
3,160,160,0,24.1,96,91,5,26.04,24592,24592,31984,30624,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
4,160,160,0,23.85,95,92,3,25.65,24416,24416,31488,30672,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
5,160,160,0,24.2,94,91,3,26.11,24816,24816,31552,30736,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
6,160,160,0,23.59,93,92,1,25.43,24144,24144,30944,30672,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
7,160,160,0,24.02,93,91,2,25.88,24856,24856,31456,30912,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
8,160,160,0,24.21,92,91,1,26.11,25008,25008,31264,30992,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
9,160,160,0,24.21,96,91,5,26.15,25024,25024,32128,30768,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
10,160,160,0,23.85,93,91,2,25.69,24736,24736,30896,30352,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
11,160,160,0,24.12,94,90,4,26.04,24928,24928,31360,30272,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
12,160,160,0,24.45,93,90,3,26.16,25256,25256,31344,30528,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
13,160,160,0,24.4,93,89,4,26.31,25312,25312,31456,30368,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
14,160,160,0,24.48,93,92,1,26.35,25216,25216,31776,31504,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
15,160,160,0,24.03,94,91,3,26.11,24736,24736,31632,30816,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
16,160,160,0,24.81,95,88,7,26.79,25664,25664,32000,30096,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
17,160,160,0,24.12,93,88,5,26.14,24648,24648,31008,29648,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
18,160,160,0,24.06,92,88,4,26.09,24760,24760,30768,29680,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
19,160,160,0,24.05,92,90,2,25.98,24712,24712,30928,30384,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
20,160,160,0,24.66,94,90,4,26.47,25176,25176,31920,30832,2,5000000,51,5,241223-133151_Run_1_Idx_1764,2000,5000000,2.2400000000000002e-05,1000000,1,0
