RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,47,27,20,2.26,32,18,14,0.0,13152,6504,1888,1008,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
2,40,27,13,2.82,30,16,14,0.0,12304,6048,1888,992,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
3,43,28,15,1.4,28,15,13,0.0,7952,5192,1592,840,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
4,40,26,14,1.95,29,16,13,0.0,8696,6152,1776,976,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
5,47,28,19,1.49,26,16,10,0.0,10384,5776,1584,960,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
6,41,26,15,1.71,25,17,8,0.0,10904,5704,1400,968,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
7,41,27,14,1.8,24,17,7,0.0,13160,5960,1424,1024,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
8,37,28,9,1.78,24,19,5,0.0,9504,5624,1408,1136,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
9,42,27,15,1.67,20,18,2,0.0,9112,5712,1248,1120,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
10,40,28,12,1.9,22,19,3,0.0,10024,6120,1360,1168,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
11,44,28,16,1.59,25,19,6,0.0,11424,5808,1552,1168,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
12,43,27,16,1.86,24,18,6,0.0,10520,6168,1440,1072,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
13,45,28,17,1.47,24,17,7,0.0,10048,5448,1464,1016,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
14,43,25,18,1.56,26,17,9,0.0,11576,5496,1608,1032,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
15,40,27,13,1.55,28,17,11,0.0,7120,5096,1776,1072,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
16,44,27,17,1.57,30,18,12,0.0,10488,5600,1904,1136,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
17,47,26,21,1.21,30,17,13,0.0,10368,4856,1864,1032,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
18,43,25,18,1.23,31,17,14,0.0,8928,4504,1928,1032,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
19,46,27,19,1.37,30,17,13,0.0,11192,5320,1800,984,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
20,39,27,12,1.72,29,14,15,0.0,8184,5624,1808,864,7,7000000,51,5,241228-131759_Run_3_Idx_7642,2000,7000000,4.9999999999999996e-05,6000000,1,0
