RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,62,42,20,5,81,66,15,5
2,63,37,26,5,76,60,16,5
3,57,39,18,5,76,57,19,5
4,53,36,17,5,76,59,17,5
5,56,33,23,5,58,47,11,5
6,57,36,21,5,72,55,17,5
7,52,35,17,5,89,67,22,5
8,56,40,16,5,58,47,11,5
9,58,36,22,5,81,63,18,5
10,64,40,24,5,71,55,16,5
