RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,160,116,44,24.01,45,29,16,25.8,102336,69432,40936,24328,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
2,158,120,38,24.43,44,29,15,26.41,110632,82128,41240,25440,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
3,159,121,38,23.92,44,29,15,25.64,113320,85800,40336,24760,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
4,158,118,40,25.03,49,27,22,27.0,117432,84488,45256,23408,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
5,159,121,38,24.62,49,29,20,26.51,113264,83248,42664,23824,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
6,160,120,40,24.3,50,28,22,26.12,111472,80592,44992,22960,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
7,159,120,39,24.89,51,28,23,26.76,119272,89432,48792,24928,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
8,160,117,43,24.36,48,30,18,26.33,107640,73928,43264,24800,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
9,158,108,50,23.96,45,29,16,25.82,113904,76992,40592,23920,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
10,159,112,47,23.89,43,30,13,25.84,104856,68704,38608,24904,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
11,159,118,41,24.42,48,29,19,26.33,114640,83808,40848,22872,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
12,159,115,44,24.3,44,29,15,26.5,108256,74448,38648,23400,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
13,160,116,44,23.94,40,29,11,25.9,108320,75032,34552,23264,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
14,159,116,43,24.52,42,31,11,26.48,112088,79464,36776,25232,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
15,160,113,47,24.62,41,29,12,26.37,111040,75192,37040,24368,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
16,159,117,42,24.32,45,30,15,26.11,110544,77536,39656,25104,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
17,159,112,47,24.7,48,29,19,26.62,110456,74328,41048,23368,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
18,160,112,48,24.55,46,30,16,26.26,109592,71600,39000,23576,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
19,160,116,44,24.78,44,27,17,26.64,111040,76888,33984,19984,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
20,158,117,41,24.13,41,28,13,25.93,114352,80632,36648,23072,4,1000000,51,5,241227-101043_Run_6_Idx_38526,2000,1000000,4.9999999999999996e-05,20000000,1,0
