,Unnamed: 0,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
1776,8882.0,3.0,153.2,44.8,108.4,20.002,37.2,10.8,26.4,19.934000000000005,576280.0,164308.8,219464.0,57937.6,14.0,0.0,51.0,10.0,0.0,3620.0,0.0,5e-05,20000000.0,5762800.0,1643088.0,2194640.0,579376.0,0.7076443058969843,0.7091512565196776
1777,8887.0,3.0,307.8,80.0,227.8,26.536,276.8,84.2,192.6,25.736,97049.6,25329.6,212628.8,58668.8,2.0,0.0,51.0,10.0,0.0,520.0,0.0,5e-05,20000000.0,970496.0,253296.0,2126288.0,586688.0,0.740069875252891,0.6958560011888769
1778,8892.0,3.0,277.8,78.6,199.2,26.136000000000003,88.8,26.6,62.2,25.794,870657.6,241728.0,369352.0,101128.0,7.0,0.0,51.0,10.0,0.0,1450.0,0.0,5e-05,20000000.0,8706576.0,2417280.0,3693520.0,1011280.0,0.7170453398980964,0.7004636641502198
1779,8897.0,3.0,255.0,72.6,182.4,24.136000000000003,91.2,29.0,62.2,21.458,643822.4,174555.2,261424.0,75020.8,7.0,0.0,51.0,10.0,0.0,2620.0,0.0,5e-05,20000000.0,6438224.0,1745552.0,2614240.0,750208.0,0.7154506835947232,0.6819364559790092
1780,8902.0,3.0,158.2,51.6,106.6,23.464,37.2,13.0,24.2,23.566,780649.6,229342.4,326577.6,92556.8,14.0,0.0,51.0,10.0,0.0,750.0,0.0,5e-05,20000000.0,7806496.0,2293424.0,3265776.0,925568.0,0.6738373780536968,0.6504897378581589
1781,8907.0,3.0,246.6,66.0,180.6,20.456,92.6,26.4,66.2,16.988000000000003,517200.0,139436.8,146036.8,41180.8,7.0,0.0,51.0,10.0,0.0,4370.0,0.0,5e-05,20000000.0,5172000.0,1394368.0,1460368.0,411808.0,0.7323791739592463,0.7149473307272238
1782,8912.0,3.0,320.0,80.0,240.0,26.622000000000003,162.8,43.6,119.2,27.0,389459.2,97364.8,316742.4,84512.0,4.0,0.0,51.0,10.0,0.0,1980.0,0.0,5e-05,20000000.0,3894592.0,973648.0,3167424.0,845120.0,0.75,0.7321649513880695
1783,8917.0,3.0,144.8,39.8,105.0,14.574000000000002,37.0,10.6,26.4,11.782,329038.4,114081.6,105664.0,35068.8,14.0,0.0,51.0,10.0,0.0,3720.0,0.0,5e-05,20000000.0,3290384.0,1140816.0,1056640.0,350688.0,0.7251343413666704,0.7137822032558876
1784,8922.0,3.0,313.0,107.6,205.4,21.856,243.6,72.6,171.0,25.330000000000002,77971.2,22958.4,182214.4,50948.8,2.0,0.0,51.0,10.0,0.0,2920.0,0.0,5e-05,20000000.0,779712.0,229584.0,1822144.0,509488.0,0.6562334630117398,0.7020401093055316
1785,8927.0,3.0,156.0,44.2,111.8,25.46,37.0,10.2,26.8,25.838,920156.8,248192.0,324697.6,94227.2,14.0,0.0,51.0,10.0,0.0,1030.0,0.0,5e-05,20000000.0,9201568.0,2481920.0,3246976.0,942272.0,0.7166349995858725,0.7240951477793584
1786,8932.0,3.0,305.6,89.8,215.8,18.798,149.8,42.8,107.0,19.318,224953.6,62180.8,161796.8,47224.0,4.0,0.0,51.0,10.0,0.0,4920.0,0.0,5e-05,20000000.0,2249536.0,621808.0,1617968.0,472240.0,0.7061991865686703,0.7143801183350454
1787,8937.0,3.0,152.8,44.0,108.8,17.98,37.2,11.8,25.4,17.8,434611.2,120228.8,206963.2,61328.0,14.0,0.0,51.0,10.0,0.0,3250.0,0.0,5e-05,20000000.0,4346112.0,1202288.0,2069632.0,613280.0,0.7119469780418038,0.6828354670459934
1788,8942.0,3.0,311.6,88.2,223.4,24.733999999999998,285.2,95.6,189.6,23.75,98019.2,26120.0,190764.8,50800.0,2.0,0.0,51.0,10.0,0.0,1010.0,0.0,5e-05,20000000.0,980192.0,261200.0,1907648.0,508000.0,0.7170345056730879,0.6647887323943661
1789,8947.0,3.0,230.4,65.2,165.2,23.34,93.0,26.2,66.8,18.336000000000002,595683.2,175692.8,172180.8,44344.0,7.0,0.0,51.0,10.0,0.0,4180.0,0.0,5e-05,20000000.0,5956832.0,1756928.0,1721808.0,443440.0,0.716841519131758,0.7181612007997374
1790,8952.0,3.0,228.0,66.0,162.0,25.098000000000003,92.2,28.4,63.8,19.226,662742.4,196411.2,199193.6,60316.8,7.0,0.0,51.0,10.0,0.0,3340.0,0.0,5e-05,20000000.0,6627424.0,1964112.0,1991936.0,603168.0,0.7104680646325991,0.6921911726447001
1791,8957.0,3.0,152.2,44.0,108.2,20.52,37.6,10.8,26.8,19.406,510252.8,144390.4,218049.6,63016.0,14.0,0.0,51.0,10.0,0.0,2640.0,0.0,5e-05,20000000.0,5102528.0,1443904.0,2180496.0,630160.0,0.7108091469078187,0.7128022759601708
1792,8962.0,3.0,245.4,67.6,177.8,23.24,92.8,28.6,64.2,19.552,597819.2,163025.6,215673.6,63190.4,7.0,0.0,51.0,10.0,0.0,3080.0,0.0,5e-05,20000000.0,5978192.0,1630256.0,2156736.0,631904.0,0.7245420218749329,0.6918504371698845
1793,8967.0,3.0,222.6,62.2,160.4,19.916,86.6,24.8,61.8,14.754,453625.6,123710.4,163174.4,42824.0,7.0,0.0,51.0,10.0,0.0,4240.0,0.0,5e-05,20000000.0,4536256.0,1237104.0,1631744.0,428240.0,0.7203909641356419,0.7124228097483911
1794,8972.0,3.0,228.6,65.8,162.8,25.02,92.4,25.4,67.0,19.536,649289.6,189328.0,181406.4,54179.2,7.0,0.0,51.0,10.0,0.0,4190.0,0.0,5e-05,20000000.0,6492896.0,1893280.0,1814064.0,541792.0,0.7121090641646537,0.7251051893408136
1795,8977.0,3.0,272.8,75.4,197.4,26.601999999999997,89.4,25.4,64.0,25.95,877948.8,240480.0,350012.8,95620.8,7.0,0.0,51.0,10.0,0.0,770.0,0.0,5e-05,20000000.0,8779488.0,2404800.0,3500128.0,956208.0,0.7235890886223647,0.7158220119944158
1796,8982.0,3.0,298.2,88.2,210.0,24.399999999999995,161.6,53.4,108.2,23.294,348968.0,97756.8,245083.2,66454.4,4.0,0.0,51.0,10.0,0.0,1640.0,0.0,5e-05,20000000.0,3489680.0,977568.0,2450832.0,664544.0,0.7042002596202503,0.6697945083780142
1797,8987.0,3.0,156.8,47.2,109.6,17.32,37.6,11.2,26.4,16.940000000000005,462752.0,134345.6,191016.0,59571.2,14.0,0.0,51.0,10.0,0.0,4960.0,0.0,5e-05,20000000.0,4627520.0,1343456.0,1910160.0,595712.0,0.6989305667251999,0.7021337126600284
1798,8992.0,3.0,233.8,64.2,169.6,21.772,90.6,25.8,64.8,16.682,472993.6,132926.4,175619.2,51038.4,7.0,0.0,51.0,10.0,0.0,4680.0,0.0,5e-05,20000000.0,4729936.0,1329264.0,1756192.0,510384.0,0.7253944583763622,0.7152514476119437
1799,8997.0,3.0,240.4,68.6,171.8,25.23,91.8,29.8,62.0,21.35,689116.8,189403.2,239116.8,73012.8,7.0,0.0,51.0,10.0,0.0,2490.0,0.0,5e-05,20000000.0,6891168.0,1894032.0,2391168.0,730128.0,0.7146636951890262,0.675260311852556
1800,9002.0,3.0,313.2,80.0,233.2,26.544,281.6,82.4,199.2,26.27,96640.0,24747.2,221281.6,61624.0,2.0,0.0,51.0,10.0,0.0,300.0,0.0,5e-05,20000000.0,966400.0,247472.0,2212816.0,616240.0,0.7445644671125644,0.7073965710600556
1801,9007.0,3.0,159.2,46.4,112.8,25.512,37.0,10.6,26.4,25.836000000000002,894048.0,246169.6,333896.0,93737.6,14.0,0.0,51.0,10.0,0.0,1210.0,0.0,5e-05,20000000.0,8940480.0,2461696.0,3338960.0,937376.0,0.7085251970384523,0.7140685045948203
