,RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,pulseAttenuation,FolderName,prf,FreqOffset,PulseWidth,BW,DL_throughput_bps,DL_goodput_bps,UL_throughput_bps,UL_goodput_bps,DLReTxPrcnt,ULReTxPrcnt
0,1,295,87,208,24.46,256,78,178,22.5,89640,24664,160952,44816,2,0,51,10,0,250424-174905_Run_1929_Idx_70882,4830,0,5e-05,20000000,896400.0,246640.0,1609520.0,448160.0,0.7050847457627119,0.6953125
1,2,293,86,207,24.42,243,74,169,22.7,80176,22792,144208,39808,2,0,51,10,0,250424-174905_Run_1929_Idx_70882,4830,0,5e-05,20000000,801760.0,227920.0,1442080.0,398080.0,0.7064846416382252,0.6954732510288066
2,3,291,87,204,24.76,252,78,174,22.85,87640,25152,155560,43264,2,0,51,10,0,250424-174905_Run_1929_Idx_70882,4830,0,5e-05,20000000,876400.0,251520.0,1555600.0,432640.0,0.7010309278350515,0.6904761904761905
3,4,307,87,220,25.03,247,74,173,23.34,100848,27488,146256,40824,2,0,51,10,0,250424-174905_Run_1929_Idx_70882,4830,0,5e-05,20000000,1008480.0,274880.0,1462560.0,408240.0,0.7166123778501629,0.7004048582995951
4,5,305,86,219,24.89,250,75,175,23.45,94752,25528,174192,47152,2,0,51,10,0,250424-174905_Run_1929_Idx_70882,4830,0,5e-05,20000000,947520.0,255280.0,1741920.0,471520.0,0.7180327868852459,0.7
5,1,310,80,230,26.55,162,48,114,26.02,353896,92216,273704,76192,4,0,51,10,0,250423-180425_Run_278_Idx_2505,700,0,5e-05,20000000,3538960.0,922160.0,2737040.0,761920.0,0.7419354838709677,0.7037037037037037
6,2,313,80,233,26.36,166,48,118,26.09,364120,93400,296280,83104,4,0,51,10,0,250423-180425_Run_278_Idx_2505,700,0,5e-05,20000000,3641200.0,934000.0,2962800.0,831040.0,0.744408945686901,0.7108433734939759
7,3,310,80,230,26.45,164,47,117,26.15,351192,90648,299032,83216,4,0,51,10,0,250423-180425_Run_278_Idx_2505,700,0,5e-05,20000000,3511920.0,906480.0,2990320.0,832160.0,0.7419354838709677,0.7134146341463414
8,4,312,80,232,26.46,159,45,114,26.15,384472,99392,265776,69256,4,0,51,10,0,250423-180425_Run_278_Idx_2505,700,0,5e-05,20000000,3844720.0,993920.0,2657760.0,692560.0,0.7435897435897436,0.7169811320754716
9,5,310,80,230,26.62,164,45,119,26.26,323600,83688,337600,90400,4,0,51,10,0,250423-180425_Run_278_Idx_2505,700,0,5e-05,20000000,3236000.0,836880.0,3376000.0,904000.0,0.7419354838709677,0.725609756097561
10,1,157,42,115,26.66,37,10,27,27.0,1014248,268840,511240,137672,14,0,51,10,0,250423-121608_Run_328_Idx_9907,820,0,5e-05,20000000,10142480.0,2688400.0,5112400.0,1376720.0,0.732484076433121,0.7297297297297297
11,2,158,44,114,26.6,36,9,27,27.0,1004800,277472,236256,59064,14,0,51,10,0,250423-121608_Run_328_Idx_9907,820,0,5e-05,20000000,10048000.0,2774720.0,2362560.0,590640.0,0.7215189873417721,0.75
12,3,158,43,115,26.67,37,10,27,27.0,896184,238416,394024,106320,14,0,51,10,0,250423-121608_Run_328_Idx_9907,820,0,5e-05,20000000,8961840.0,2384160.0,3940240.0,1063200.0,0.7278481012658228,0.7297297297297297
13,4,157,43,114,26.59,38,11,27,27.0,962280,261024,366192,101984,14,0,51,10,0,250423-121608_Run_328_Idx_9907,820,0,5e-05,20000000,9622800.0,2610240.0,3661920.0,1019840.0,0.7261146496815286,0.7105263157894737
14,5,158,44,114,26.66,36,9,27,27.0,1043472,291512,346976,86744,14,0,51,10,0,250423-121608_Run_328_Idx_9907,820,0,5e-05,20000000,10434720.0,2915120.0,3469760.0,867440.0,0.7215189873417721,0.75
15,1,313,80,233,26.3,290,91,199,25.51,103840,26696,198048,55568,2,0,51,10,0,250423-153832_Run_537_Idx_12037,1350,0,5e-05,20000000,1038400.0,266960.0,1980480.0,555680.0,0.744408945686901,0.6862068965517242
16,2,316,80,236,25.91,294,91,203,25.53,94080,23840,214288,59920,2,0,51,10,0,250423-153832_Run_537_Idx_12037,1350,0,5e-05,20000000,940800.0,238400.0,2142880.0,599200.0,0.7468354430379747,0.6904761904761905
17,3,315,80,235,25.9,296,92,204,25.54,94432,24040,201216,57048,2,0,51,10,0,250423-153832_Run_537_Idx_12037,1350,0,5e-05,20000000,944320.0,240400.0,2012160.0,570480.0,0.746031746031746,0.6891891891891891
18,4,316,80,236,25.99,297,91,206,25.55,94560,23984,248104,68488,2,0,51,10,0,250423-153832_Run_537_Idx_12037,1350,0,5e-05,20000000,945600.0,239840.0,2481040.0,684880.0,0.7468354430379747,0.6936026936026936
