RNTI,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL,DL_throughput_bits,DL_goodput_bits,UL_throughput_bits,UL_goodput_bits,TTI,PulseBWoffset,numRBs,NumFrames,FolderName,prf,FreqOffset,PulseWidth,BW,numPulses,pulseIdxOffset_ms
1,90,29,61,23.78,23,7,16,25.87,118880,39672,45624,12952,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
2,89,29,60,24.1,18,6,12,26.11,119848,38928,36528,11088,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
3,91,30,61,23.9,21,6,15,25.86,120160,39496,41512,11152,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
4,91,29,62,24.21,19,7,12,26.05,123400,38296,36056,12472,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
5,96,31,65,24.02,19,6,13,25.95,128112,39128,35768,10544,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
6,96,31,65,24.42,21,7,14,26.52,128640,40048,39208,12344,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
7,84,29,55,23.95,18,6,12,26.33,118840,37824,33616,10384,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
8,91,30,61,23.86,17,6,11,25.94,121608,38512,32200,9936,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
9,86,30,56,23.6,20,6,14,25.75,118312,37312,37440,10544,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
10,97,31,66,24.61,16,5,11,26.5,136600,42312,33344,9672,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
11,89,29,60,24.03,16,6,10,26.06,123680,39064,30688,10064,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
12,91,29,62,24.08,16,5,11,26.12,119040,38072,31168,9128,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
13,90,29,61,24.13,18,6,12,26.22,118400,38208,32808,10120,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
14,91,28,63,24.41,18,5,13,26.22,126360,38496,36048,10088,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
15,87,27,60,24.03,19,5,14,26.05,112384,34528,39352,10376,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
16,89,29,60,24.93,23,6,17,26.74,134128,42752,47064,12304,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
17,87,29,58,23.99,17,5,12,26.29,123896,39080,34952,10216,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
18,90,30,60,23.84,19,6,13,25.84,127264,41016,36816,10792,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
19,84,30,54,24.4,22,6,16,26.55,127280,42240,44080,11824,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
20,92,30,62,23.46,18,5,13,25.22,131568,40016,36432,10120,7,1000000,51,5,241227-100905_Run_7_Idx_9793,2000,1000000,4.9999999999999996e-05,20000000,1,0
