RNTIs_DL,numDLTotal,numDLnew,numReTx_DL,avgMCS_DL,numULTotal,numULnew,numReTx_UL,avgMCS_UL
1,133,78,55,5,110,76,34,5
2,141,83,58,5,120,84,36,5
3,142,80,62,5,114,82,32,5
4,137,81,56,5,126,90,36,5
5,135,81,54,5,105,80,25,5
6,136,84,52,5,114,87,27,5
7,130,80,50,5,111,82,29,5
8,130,78,52,5,119,89,30,5
9,128,77,51,5,113,82,31,5
10,130,82,48,5,105,78,27,5
