Time,Transfer,Bitrate,Retr,Cwnd
local,port,connected,10.45.0.5,5201
0.00,5.46,45.8,0,KBytes
1.00,5.38,45.1,0,MBytes
2.00,5.38,45.1,0,MBytes
3.00,5.25,44.0,0,MBytes
4.00,5.25,44.0,0,MBytes
5.00,5.00,41.9,0,MBytes
6.00,5.12,43.0,0,MBytes
7.00,5.00,41.9,0,MBytes
8.00,5.12,43.0,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.12,43.0,0,MBytes
11.00,5.00,42.0,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.00,41.9,0,MBytes
15.00,5.12,43.0,0,MBytes
16.00,5.00,41.9,0,MBytes
17.00,5.00,41.9,0,MBytes
18.00,5.12,43.0,0,MBytes
19.00,5.00,41.9,0,MBytes
20.00,5.12,43.0,0,MBytes
21.00,5.00,41.9,0,MBytes
22.00,5.00,41.9,0,MBytes
23.00,5.12,43.0,0,MBytes
24.00,5.00,41.9,0,MBytes
25.00,5.12,43.0,0,MBytes
26.00,5.00,41.9,0,MBytes
27.00,5.00,41.9,0,MBytes
28.00,5.12,43.0,0,MBytes
29.00,5.00,41.9,0,MBytes
30.00,5.12,43.0,0,MBytes
31.00,5.00,41.9,0,MBytes
32.00,5.12,43.0,0,MBytes
33.00,5.00,41.9,0,MBytes
34.00,4.88,40.9,0,MBytes
35.00,5.25,44.0,0,MBytes
36.00,5.00,41.9,0,MBytes
37.00,5.12,43.0,0,MBytes
38.00,5.00,41.9,0,MBytes
39.00,5.12,43.0,0,MBytes
40.00,5.00,41.9,0,MBytes
41.00,5.00,41.9,0,MBytes
42.00,5.12,43.0,0,MBytes
43.00,5.00,41.9,0,MBytes
44.00,5.12,43.0,0,MBytes
45.00,5.00,41.9,0,MBytes
46.00,5.12,43.0,0,MBytes
47.00,5.00,41.9,0,MBytes
48.00,5.00,41.9,0,MBytes
49.00,5.12,43.0,0,MBytes
50.00,5.00,41.9,0,MBytes
51.00,5.12,43.0,0,MBytes
52.00,5.00,41.9,0,MBytes
53.00,5.12,43.0,0,MBytes
54.00,5.00,41.9,0,MBytes
55.00,5.00,41.9,0,MBytes
56.00,5.12,43.0,0,MBytes
57.00,5.00,41.9,0,MBytes
58.00,5.12,43.0,0,MBytes
59.00,5.00,41.9,0,MBytes
60.00,5.00,41.9,0,MBytes
61.00,5.12,43.0,0,MBytes
62.00,5.00,41.9,0,MBytes
63.00,5.12,43.0,0,MBytes
64.00,5.00,41.9,0,MBytes
65.00,5.00,41.9,0,MBytes
66.00,5.12,43.0,0,MBytes
67.00,5.00,41.9,0,MBytes
68.00,5.12,43.0,0,MBytes
69.00,5.00,41.9,0,MBytes
70.00,5.12,43.0,0,MBytes
71.00,4.75,39.8,0,MBytes
72.00,3.88,32.5,0,MBytes
73.00,3.75,31.5,0,MBytes
74.00,3.50,29.4,0,MBytes
75.00,2.75,23.1,0,MBytes
76.00,2.12,17.8,0,MBytes
77.00,2.25,18.9,0,MBytes
78.00,2.12,17.8,0,MBytes
79.00,2.12,17.8,0,MBytes
80.00,2.00,16.8,0,MBytes
81.00,2.00,16.8,0,MBytes
82.00,2.00,16.8,0,MBytes
83.00,1.88,15.7,0,MBytes
84.00,2.00,16.8,0,MBytes
85.00,1.88,15.7,0,MBytes
86.00,2.00,16.8,0,MBytes
87.00,1.88,15.7,0,MBytes
88.00,2.00,16.8,0,MBytes
89.00,2.00,16.8,0,MBytes
90.00,2.00,16.8,0,MBytes
91.00,2.00,16.8,0,MBytes
92.00,2.50,21.0,0,MBytes
93.00,3.38,28.3,0,MBytes
94.00,4.75,39.8,0,MBytes
95.00,5.12,43.0,0,MBytes
96.00,5.00,41.9,0,MBytes
97.00,5.12,43.0,0,MBytes
98.00,5.00,41.9,0,MBytes
99.00,4.88,43.0,0,MBytes
0.00,447,37.5,0,
0.00,0.00,0.00,receiver,
local,port,connected,10.45.0.5,5201
0.00,5.46,45.8,0,KBytes
1.00,5.38,45.1,0,KBytes
2.00,5.38,45.1,0,KBytes
3.00,5.25,44.0,0,MBytes
4.00,5.38,45.1,0,MBytes
5.00,5.25,44.0,0,MBytes
6.00,5.00,41.9,0,MBytes
7.00,5.12,43.0,0,MBytes
8.00,5.00,41.9,0,MBytes
9.00,5.00,41.9,0,MBytes
10.00,5.12,43.0,0,MBytes
11.00,5.00,41.9,0,MBytes
12.00,5.00,41.9,0,MBytes
13.00,5.12,43.0,0,MBytes
14.00,5.00,41.9,0,MBytes
15.00,5.12,43.0,0,MBytes
16.00,5.00,41.9,0,MBytes
17.00,5.00,41.9,0,MBytes
18.00,4.12,34.6,0,MBytes
19.00,3.88,32.5,0,MBytes
20.00,2.62,22.0,0,MBytes
21.00,1.88,15.7,0,MBytes
22.00,2.12,17.8,0,MBytes
23.00,1.88,15.7,0,MBytes
24.00,1.88,15.7,0,MBytes
25.00,2.00,16.8,0,MBytes
26.00,2.25,18.9,0,MBytes
27.00,2.38,19.9,0,MBytes
28.00,3.62,30.4,0,MBytes
29.00,4.00,33.6,0,MBytes
30.00,3.50,29.4,0,MBytes
31.00,2.62,22.0,0,MBytes
32.00,2.12,17.8,0,MBytes
33.00,2.25,18.9,0,MBytes
34.00,2.12,17.8,0,MBytes
35.00,2.25,18.9,0,MBytes
36.00,2.25,18.9,0,MBytes
37.00,2.62,22.0,0,MBytes
38.00,4.88,40.9,0,MBytes
