timestamp,error_indication_count,average_latency,latency_histogram,pci,rnti,cqi,ri,dl_mcs,dl_brate,dl_nof_ok,dl_nof_nok,dl_bs,pusch_snr_db,pucch_snr_db,ta_ns,ul_mcs,ul_brate,ul_nof_ok,ul_nof_nok,bsr
1740932001.164,0,5,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,14,1.0,27,546992.0,34,0,11251,33.49308,9.101469,137.837731,28,54312.0,13,0,0
1740932002.164,0,9,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,22413664.0,761,0,64937,33.141075,23.945692,137.837731,28,413968.0,82,0,535
1740932003.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44347112.0,1398,3,333771,33.36992,23.220963,137.837731,28,466048.0,98,0,0
1740932004.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,1,572266,33.18376,23.073965,130.208335,28,463608.0,100,0,535
1740932005.164,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44415744.0,1400,0,852696,33.55934,23.515804,154.113778,28,467712.0,100,0,384
1740932006.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44408568.0,1400,0,1111513,33.2822,23.258333,169.881190,28,462480.0,100,0,745
1740932007.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,0,1386307,33.36198,23.060562,169.881190,28,485464.0,100,0,384
1740932008.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44451600.0,1401,0,1661121,33.60091,22.870348,122.070318,28,474688.0,99,0,745
1740932009.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44236464.0,1395,4,1936921,33.53896,24.103292,122.070318,28,499280.0,96,0,384
1740932010.164,0,12,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44444424.0,1401,0,2211359,33.4402,23.812855,122.070318,28,498112.0,100,0,384
1740932011.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,0,2230962,33.428562,23.442013,130.208335,28,483136.0,100,0,535
1740932012.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44451600.0,1401,0,2306860,33.481583,23.294724,169.881190,28,512664.0,100,0,745
1740932013.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,0,2246733,33.63882,23.197908,122.070318,28,481552.0,100,0,384
1740932014.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44372712.0,1399,1,2190148,33.60216,23.494064,162.251794,28,442536.0,100,0,535
1740932015.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44415744.0,1400,1,2271892,33.3576,23.337658,145.975747,28,496496.0,100,0,0
1740932016.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44415744.0,1400,0,2211352,33.385204,23.20302,154.113778,28,458696.0,98,0,384
1740932017.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44415744.0,1400,0,2287574,33.283123,22.828629,179.036462,28,452384.0,100,0,745
1740932018.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44336856.0,1398,1,2231002,33.520588,23.45467,104.777023,28,470832.0,99,0,745
1740932019.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,43022560.0,1357,44,2207907,33.518402,23.418488,145.975747,28,434384.0,91,4,0
1740932020.164,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,14,1.0,27,32515856.0,1084,315,1993869,33.440624,21.34877,137.837731,28,171784.0,41,20,0
1740932021.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,10,1.0,16,17394192.0,1193,207,2184407,33.589535,21.182909,145.975747,28,174080.0,40,20,0
1740932022.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,6,6472448.0,1302,98,2071454,33.10472,20.754072,145.975747,27,158536.0,46,18,0
1740932023.164,0,12,"[1999, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,6,6794328.0,1301,99,2054129,32.97776,20.95581,137.837731,27,152240.0,48,18,0
1740932024.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,7,7384960.0,1288,113,1964124,33.42219,21.053507,154.113778,27,158896.0,49,14,0
1740932025.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,7,7718824.0,1269,130,1964553,33.28794,20.889963,169.881190,27,156552.0,49,16,0
1740932026.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8011048.0,1256,145,1932797,33.249275,20.669357,187.174479,27,154008.0,48,18,0
1740932027.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7880192.0,1252,148,2053447,33.158096,20.419851,179.036462,27,161432.0,47,16,0
1740932028.164,0,15,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8016976.0,1255,145,2020025,33.37622,20.71853,122.070318,27,159176.0,46,18,0
1740932029.164,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7981008.0,1252,147,1990778,33.383175,21.45099,112.915039,27,164760.0,45,18,0
1740932030.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8115024.0,1256,144,1945089,33.28246,21.27919,122.070318,27,141000.0,50,20,0
1740932031.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7946664.0,1253,147,2057447,33.215816,20.891294,137.837731,27,159000.0,49,16,0
1740932032.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7891200.0,1253,148,2038624,33.24759,20.663717,130.208335,28,176200.0,46,12,0
1740932033.164,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8106736.0,1256,143,1995696,33.312637,21.140556,154.113778,27,154184.0,45,18,0
1740932034.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7878056.0,1253,147,1979557,33.254955,20.853777,145.975747,27,158400.0,47,16,0
1740932035.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8031632.0,1254,146,1944911,32.743786,20.671915,162.251794,27,159728.0,48,17,0
1740932036.164,0,11,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8075640.0,1255,146,2041488,32.904457,20.659306,162.251794,27,154256.0,46,20,0
1740932037.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8012496.0,1252,148,2009241,32.955944,20.331835,202.941891,27,148176.0,48,20,0
1740932038.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,7948712.0,1253,147,1984721,33.321045,21.244537,97.147627,27,150720.0,49,18,0
1740932039.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,5,1.0,8,8467960.0,1278,122,2031376,33.297863,21.76067,130.208335,27,166056.0,57,16,384
1740932040.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,8,1.0,16,20936304.0,1400,0,1873600,33.578102,23.488377,122.070318,27,366384.0,100,0,535
1740932041.164,0,14,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,13,1.0,27,41706704.0,1399,0,2277540,33.51186,23.19567,130.208335,28,573288.0,99,0,198
1740932042.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44444424.0,1401,0,2217919,33.539383,23.072128,137.837731,28,468808.0,100,0,745
1740932043.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,1,2298245,33.530663,23.39877,130.208335,28,473984.0,100,0,745
1740932044.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44344032.0,1398,2,2246656,33.54628,23.295616,162.251794,28,479312.0,100,0,745
1740932045.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44344032.0,1398,1,2190931,33.45438,23.092016,187.174479,28,469912.0,100,0,384
1740932046.164,0,13,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44444424.0,1401,0,2267706,33.290283,22.933525,187.174479,28,487520.0,100,0,384
1740932047.164,0,12,"[2000, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,25957,15,1.0,28,44379888.0,1399,1,2211648,33.52998,23.715034,104.777023,28,469904.0,99,0,745
